TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
17463393, -1.7262115, 7.3118896, 6.1602783, -1.7262115, 7.3118896, 6.1602783, -1.7262115, 7.3118896, 6.1602783, -1.7262115, 7.3118896, 6.1602783, -1.7262115, 7.3118896, 6.1602783, -1.7262115, 7.3118896, 6.1602783, 870.3333, 177.63062, -4789.6294, -517.7447, 0.725, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1
17463493, -1.0127411, 6.79953, 7.170624, -1.0127411, 6.79953, 7.170624, -1.0127411, 6.79953, 7.170624, -1.0127411, 6.79953, 7.170624, -1.0127411, 6.79953, 7.170624, -1.0127411, 6.79953, 7.170624, 356.0283, 239.16193, -4702.475, 783.50037, 0.725, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1

17463592, -0.96965027, 6.9096527, 7.328644, -0.96965027, 6.9096527, 7.328644, -0.96965027, 6.9096527, 7.328644, -0.96965027, 6.9096527, 7.328644, -0.96965027, 6.9096527, 7.328644, -0.96965027, 6.9096527, 7.328644, 189.0, 267.0, 0.0, 0.0, 0.725, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2
17463855, -1.4101715, 7.2592163, 7.3621674, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 243.0, 744.0, 0.0, 0.0, 0.6875, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2
17463855, -1.4101715, 7.2592163, 7.3621674, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 9.043884, -3.894043, -12.408447, 243.0, 744.0, 0.0, 0.0, 0.6875, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2
17463994, -1.5634003, 6.9719086, 6.921631, -1.5634003, 6.9719086, 6.921631, -1.5634003, 6.9719086, 6.921631, 0.3549652, 0.127594, 0.17048645, 0.3549652, 0.127594, 0.17048645, 0.3549652, 0.127594, 0.17048645, 610.2843, 743.0325, 4955.2905, -222.14064, 0.6875, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2
17464078, -1.0654144, 6.6702423, 7.0509186, -1.0654144, 6.6702423, 7.0509186, -1.0654144, 6.6702423, 7.0509186, -1.0654144, 6.6702423, 7.0509186, -1.0654144, 6.6702423, 7.0509186, -1.0654144, 6.6702423, 7.0509186, 1039.2545, 716.7228, 3520.616, -393.32504, 0.6875, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2
17464295, -1.4389038, 7.0197906, 6.2416687, -1.4389038, 7.0197906, 6.2416687, -1.4389038, 7.0197906, 6.2416687, -1.4389038, 7.0197906, 6.2416687, 0.1348114, -0.15246582, -0.25827026, 0.1348114, -0.15246582, -0.25827026, 1107.8878, 360.90704, -2240.4521, -2971.9307, 0.6875, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2
17464362, -2.0374603, 7.5130005, 6.1267548, -2.0374603, 7.5130005, 6.1267548, -2.0374603, 7.5130005, 6.1267548, -2.0374603, 7.5130005, 6.1267548, -2.0374603, 7.5130005, 6.1267548, -2.0374603, 7.5130005, 6.1267548, 836.1394, 210.78845, -5546.8184, -939.11224, 0.6875, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2
17464445, -2.2242126, 7.5321503, 6.3757477, -2.2242126, 7.5321503, 6.3757477, -0.15977478, -0.41864014, 0.100128174, -0.15977478, -0.41864014, 0.100128174, -0.15977478, -0.41864014, 0.100128174, -0.15977478, -0.41864014, 0.100128174, 377.06168, 234.52698, -4495.2793, 1156.3734, 0.6875, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 2

17465728, -1.2713165, 7.685379, 6.1890106, -1.2713165, 7.685379, 6.1890106, -1.2713165, 7.685379, 6.1890106, 0.36434937, 0.20306396, 0.26712036, 0.36434937, 0.20306396, 0.26712036, 0.36434937, 0.20306396, 0.26712036, 204.0, 331.0, 0.0, 0.0, 0.3625, 0.007843138, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 3
17466127, -1.261734, 6.938385, 7.5010223, -1.261734, 6.938385, 7.5010223, -1.261734, 6.938385, 7.5010223, -1.261734, 6.938385, 7.5010223, -1.261734, 6.938385, 7.5010223, -1.261734, 6.938385, 7.5010223, 224.0, 844.0, 0.0, 0.0, 0.7, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 3
