 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, position_x_MEAN, position_y_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, position_x_SD, position_y_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
17,James,D,0.24340566,5.4906997333,8.2216821667,0.24340566,5.4906997333,8.2216821667,0.24340566,5.4906997333,8.2216821667,0.24340566,5.4906997333,8.2216821667,0.1700820917,2.7536773322,4.1541900033,0.1700820917,2.7536773322,4.1541900033,517.6992383333,567.4289583333,-278.0984066667,249.4013166667,0.58125,0.0156862752,0.2313815777,0.1894819642,0.2537444232,0.2313815777,0.1894819642,0.2537444232,0.2313815777,0.1894819642,0.2537444232,0.2313815777,0.1894819642,0.2537444232,0.287844656,2.8473874549,4.5775128268,0.287844656,2.8473874549,4.5775128268,239.368298475,404.0741513312,1225.1910731516,3151.7456792955,0.1971278139,0.0042958632
18,James,D,0.08857727,5.5114466167,8.6646118333,6.38133748,1.6539001333,-6.2916821667,6.38133748,1.6539001333,-6.2916821667,6.4344634967,-0.9877268507,-10.55492687,6.4344634967,-0.9877268507,-10.55492687,6.4344634967,-0.9877268507,-10.55492687,565.8448766667,577.20665,-248.2839166667,815.7533333333,0.4812500367,0.014379086,0.132339367,0.252287413,0.4494157968,9.6974246229,5.8581922713,23.4324683456,9.6974246229,5.8581922713,23.4324683456,9.6564288802,4.3419332529,20.3665545199,9.6564288802,4.3419332529,20.3665545199,9.6564288802,4.3419332529,20.3665545199,218.2841337798,399.9152857229,1045.0412645622,2681.1552376859,0.1071651844,0.0053578832
19,James,D,0.1548182167,5.4867070833,8.4291786667,6.76168053,0.7562434167,-6.110927,6.7711689537,-0.196118662,-7.4302171265,6.7711689537,-0.196118662,-7.4302171265,6.722539193,-2.023663841,-10.1399771648,6.722539193,-2.023663841,-10.1399771648,564.5782116667,587.59103,-463.4924,81.6844666667,0.5458333367,0.0130718962,0.1518618491,0.2412383281,0.4270205913,10.2611253425,7.2459808353,22.3445349799,10.253566182,6.8317225467,21.5692988774,10.253566182,6.8317225467,21.5692988774,10.2905945789,5.5472139554,19.4552108962,10.2905945789,5.5472139554,19.4552108962,256.3141087862,391.9429756765,1012.6794245238,2427.699503338,0.2158799768,0.0059040993
20,James,D,0.2561721798,5.6271667667,8.3956576667,6.8550541465,1.40629575,-6.3588181667,3.5343500407,2.4900767115,-0.3144710642,3.5343500407,2.4900767115,-0.3144710642,3.5343500407,2.4900767115,-0.3144710642,3.5343500407,2.4900767115,-0.3144710642,532.4382666667,592.082995,-433.319503505,576.7352166667,0.5416666667,0.0137254912,0.155117125,0.107177195,0.2011969976,10.1888238621,6.5408067682,22.7985839271,8.0718693396,5.4085335434,17.458751134,8.0718693396,5.4085335434,17.458751134,8.0718693396,5.4085335434,17.458751134,8.0718693396,5.4085335434,17.458751134,251.90235188,380.0085481301,907.2612516639,2139.4250661307,0.215300178,0.0069046345
21,James,D,0.2042973833,5.5146358,8.2320529167,0.2042973833,5.5146358,8.2320529167,0.2042973833,5.5146358,8.2320529167,0.21685791,4.6867015167,6.8718412833,0.2016220093,3.7729416317,5.5167998573,0.2016220093,3.7729416317,5.5167998573,499.1079083333,609.0592616667,-367.800295,343.3459833333,0.6125,0.01633987,0.1714354647,0.2342831492,0.1976705673,0.1714354647,0.2342831492,0.1976705673,0.1714354647,0.2342831492,0.1976705673,0.1730658625,2.2343575944,3.152632581,0.1858689121,2.9079086466,4.0624908154,0.1858689121,2.9079086466,4.0624908154,232.2351651847,345.2780346151,1186.2143855034,2774.7060566579,0.1530931089,0.004584491
22,James,D,0.1396560665,5.4954809667,8.1466648833,6.22708639,1.0168992667,-6.92475395,6.22708639,1.0168992667,-6.92475395,6.22708639,1.0168992667,-6.92475395,6.22708639,1.0168992667,-6.92475395,6.22708639,1.0168992667,-6.92475395,536.95836,606.8087333333,-489.6971183333,283.77515,0.5479166667,0.01764706,0.1443903001,0.1579083466,0.2398535937,9.3951908596,6.9994470445,23.198679494,9.3951908596,6.9994470445,23.198679494,9.3951908596,6.9994470445,23.198679494,9.3951908596,6.9994470445,23.198679494,9.3951908596,6.9994470445,23.198679494,253.860707603,393.6555614101,1171.0997246175,2503.5620039068,0.0663403472,0.0048029218
23,James,D,0.18195343,5.48511,8.5002034167,0.18195343,5.48511,8.5002034167,0.18195343,5.48511,8.5002034167,0.2105890917,4.6001307467,7.1955209667,0.2105890917,4.6001307467,7.1955209667,0.2105890917,4.6001307467,7.1955209667,467.1440283333,615.009205,-319.2769,-160.7197333333,0.66875,0.0183006543,0.0689914836,0.1230097921,0.2540708872,0.0689914836,0.1230097921,0.2540708872,0.0689914836,0.1230097921,0.2540708872,0.0585417894,2.1933712529,3.3166131713,0.0585417894,2.1933712529,3.3166131713,0.0585417894,2.1933712529,3.3166131713,216.3532093764,361.2785365843,985.9593682699,3344.7889402721,0.0459279327,0.0020250895
24,James,D,0.0159606935,5.6718571833,8.0700453333,0.0159606935,5.6718571833,8.0700453333,0.0232340495,4.6908492883,6.7279687517,0.0830993662,2.8269882083,4.2634149283,0.0830993662,2.8269882083,4.2634149283,0.0830993662,2.8269882083,4.2634149283,488.4027716667,618.3018166667,-332.7608241667,827.1256833333,0.6145833333,0.0163398703,0.0606887696,0.1551535079,0.3013534941,0.0606887696,0.1551535079,0.3013534941,0.0552572807,2.3258106452,3.2879205054,0.1462433601,3.0186558664,4.341321395,0.1462433601,3.0186558664,4.341321395,0.1462433601,3.0186558664,4.341321395,237.4495339839,348.3556136092,1082.9942207504,2618.4540323855,0.0357217254,0.0045844913
25,James,D,0.1013488767,5.5784810167,8.4523236667,0.1013488767,5.5784810167,8.4523236667,0.0478744505,4.6486383775,7.081334263,0.21408844,1.9531860233,3.1013793867,0.21408844,1.9531860233,3.1013793867,0.21408844,1.9531860233,3.1013793867,521.6779666667,588.92,-571.8915683333,716.1867833333,0.6062500033,0.0143790855,0.1110753716,0.0351860196,0.1900322439,0.1110753716,0.0351860196,0.1900322439,0.0932932893,2.2942691916,3.4654986071,0.0847386092,2.8193306011,4.1210662871,0.0847386092,2.8193306011,4.1210662871,0.0847386092,2.8193306011,4.1210662871,271.8902011026,355.9664738686,1400.8311206838,2433.0361672086,0.1684024117,0.0053578829
26,James,D,0.1683883665,5.5992329833,8.1642176,0.1683883665,5.5992329833,8.1642176,0.1683883665,5.5992329833,8.1642176,0.1683883665,5.5992329833,8.1642176,0.0646642057,0.8778279623,1.4949289958,0.0646642057,0.8778279623,1.4949289958,502.200105,613.1287833333,-170.20927,44.4987166667,0.53125,0.0150326803,0.1108312415,0.0650716177,0.2908440024,0.1108312415,0.0650716177,0.2908440024,0.1108312415,0.0650716177,0.2908440024,0.1108312415,0.0650716177,0.2908440024,0.1238247214,2.3270287418,3.3252876386,0.1238247214,2.3270287418,3.3252876386,249.7546700474,367.9334192738,1091.4480067965,2731.685965408,0.0765465545,0.0038556552
27,James,D,0.1109288533,5.7708130167,8.30707035,0.1109288533,5.7708130167,8.30707035,0.1109288533,5.7708130167,8.30707035,0.1109288533,5.7708130167,8.30707035,0.1109288533,5.7708130167,8.30707035,0.1109288533,5.7708130167,8.30707035,521.6866616667,620.095705,-625.041075,1079.57735,0.5083333417,0.0104575168,0.2095130173,0.1514985007,0.3472354871,0.2095130173,0.1514985007,0.3472354871,0.2095130173,0.1514985007,0.3472354871,0.2095130173,0.1514985007,0.3472354871,0.2095130173,0.1514985007,0.3472354871,0.2095130173,0.1514985007,0.3472354871,252.2194698495,353.8752514245,1307.8567918777,3131.2645404304,0.2401388403,0.0073015636
28,James,D,0.0861867268,5.65429935,8.2815321667,3.4712778035,3.26458985,1.1264446667,3.4712778035,3.26458985,1.1264446667,3.4810663168,2.3715463267,-0.2441098667,3.4810663168,2.3715463267,-0.2441098667,3.4810663168,2.3715463267,-0.2441098667,517.6522016667,605.0469,-512.9538080902,630.543,0.64375,0.0183006548,0.1537624959,0.1523695533,0.2134926745,8.1869563917,5.7247236909,17.5943367241,8.1869563917,5.7247236909,17.5943367241,8.1823120469,5.7247448551,17.2050018528,8.1823120469,5.7247448551,17.2050018528,8.1823120469,5.7247448551,17.2050018528,244.5017271453,357.8538212732,1007.9107425446,2008.1119702479,0.137783798,0.0059040998
