TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
17766166,-3.5529938,7.364563,5.894516,6.4331055,-18.338013,2.1194458,-0.100112915,0.01914978,-0.13209534,-0.100112915,0.01914978,-0.13209534,-0.100112915,0.01914978,-0.13209534,-0.100112915,0.01914978,-0.13209534,697,223,0,0,0.32500002,0.003921569,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",35
17766390,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,269,682,0,0,1.1750001,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",35
17766390,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,-3.1603394,7.541733,4.8650055,269,682,0,0,1.1750001,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",35
17766580,-2.5378418,7.1730194,6.0429535,-2.5378418,7.1730194,6.0429535,-2.5378418,7.1730194,6.0429535,-2.5378418,7.1730194,6.0429535,-2.5378418,7.1730194,6.0429535,-2.5378418,7.1730194,6.0429535,599.00916,1116.4292,2566.941,2203.1873,0.65000004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",35
17766831,-3.3087769,7.120346,5.961548,-3.3087769,7.120346,5.961548,-3.3087769,7.120346,5.961548,-3.3087769,7.120346,5.961548,-3.3087769,7.120346,5.961548,-3.3087769,7.120346,5.961548,1081.2351,813.84204,2072.9644,-1741.7589,0.65000004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",35
17767064,-3.1220245,7.6279144,5.348633,6.4331055,-19.03534,3.7887573,6.4331055,-19.03534,3.7887573,6.4331055,-19.03534,3.7887573,6.4331055,-19.03534,3.7887573,6.4331055,-19.03534,3.7887573,821.56445,315.27832,-2402.7615,-2529.7566,0.9125,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",35
,,,,,,,,,,,,,,,,,,,,,,,,,,
17767230,-4.1180267,7.680588,4.0509796,-4.1180267,7.680588,4.0509796,-4.1180267,7.680588,4.0509796,-4.1180267,7.680588,4.0509796,-4.1180267,7.680588,4.0509796,-4.1180267,7.680588,4.0509796,670.9394,174,0,0,0.5,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",36
17767470,-3.0406342,7.1778107,5.942398,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,259,747,0,0,0.65000004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",36
17767470,-3.0406342,7.1778107,5.942398,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,3.8223267,-16.77246,3.956604,259,747,0,0,0.65000004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",36
