TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
17214660,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,684,229,0,0,0.4,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0
17214660,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,684,229,0,0,0.4,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0
17214843,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,682.45233,558.10516,-792.3901,4591.456,0.75,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0
17215010,-1.3383484,6.0429535,7.668625,-1.3383484,6.0429535,7.668625,-1.3383484,6.0429535,7.668625,0.31059265,0.18145752,0.23452759,0.31059265,0.18145752,0.23452759,0.31059265,0.18145752,0.23452759,399.75864,1143.8754,-1659.2368,1739.2292,0.75,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0
17215227,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,210,829.46533,122.05182,-3633.936,0.75,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0
,,,,,,,,,,,,,,,,,,,,,,,,,,
17215405,-2.645584,6.708542,6.5289764,-2.645584,6.708542,6.5289764,-2.645584,6.708542,6.5289764,0.33198547,0.231781,0.24508667,0.33198547,0.231781,0.24508667,0.33198547,0.231781,0.24508667,213,630,0,0,0.45000002,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1
17215648,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,668,287,0,0,0.675,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1
17215648,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,668,287,0,0,0.675,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1
17215811,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,668.4415,549.81885,-262.4763,3678.581,0.675,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1
17215945,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,404.63846,1156.2551,-2201.1047,2421.3943,0.675,0.011764707,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1
