TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_Mean, TYPE_ACC1_Mean, TYPE_ACC2_Mean, TYPE_MAG0_Mean, TYPE_MAG1_Mean, TYPE_MAG2_Mean, TYPE_GYRO0_Mean, TYPE_GYRO1_Mean, TYPE_GYRO2_Mean, TYPE_ROTATION0_Mean, TYPE_ROTATION1_Mean, TYPE_ROTATION2_Mean, TYPE_LINEAR0_Mean, TYPE_LINEAR1_Mean, TYPE_LINEAR2_Mean, TYPE_GRAVITY0_Mean, TYPE_GRAVITY1_Mean, TYPE_GRAVITY2_Mean, velocity_x_Mean, velocity_y_Mean, pressure_Mean, size_Mean, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
19414287,-0.22744751,3.2201996,8.9878235,20.007324,12.983704,-35.620117,20.007324,12.983704,-35.620117,20.007324,12.983704,-35.620117,20.007324,12.983704,-35.620117,20.007324,12.983704,-35.620117,1067.3739,156.9469,5340.049,-454.39017,0.7875,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",1,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19414554,-0.4093933,3.253708,8.963882,-0.4093933,3.253708,8.963882,-0.4093933,3.253708,8.963882,-0.4093933,3.253708,8.963882,-0.026931763,-0.12449646,-0.23448181,-0.026931763,-0.12449646,-0.23448181,772.2331,629.61865,-3493.0903,3178.3164,0.7875,0.027450982,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",1,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19414738,-0.08378601,3.4500427,9.337372,-0.08378601,3.4500427,9.337372,-0.08378601,3.4500427,9.337372,-0.08378601,3.4500427,9.337372,0.10697937,0.1023407,0.12194824,0.10697937,0.1023407,0.12194824,355.87604,1083.1653,-757.9943,949.85046,0.7875,0.027450982,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",1,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19415446,-0.45729065,3.1675262,9.117111,-0.45729065,3.1675262,9.117111,-0.45729065,3.1675262,9.117111,-0.45729065,3.1675262,9.117111,-0.45729065,3.1675262,9.117111,-0.45729065,3.1675262,9.117111,218.24535,1234,0,0,0.4875,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2,James,B,-3.31590265,24.0066222,65.323334,37.60704075,42.1195674,-23.621952,37.60704075,42.1195674,-23.621952,38.31770359,38.69659381,-32.79289615,38.31770359,38.69659381,-32.79289615,38.31770359,38.69659381,-32.79289615,3631.9009,4479.10213,5.51250024,0.164705895,0.255838828,0.172621413,0.204248258,9.760647598,4.523584316,21.57297692,9.760647598,4.523584316,21.57297692,9.692257237,5.001643548,20.93140775,9.692257237,5.001643548,20.93140775,9.692257237,5.001643548,20.93140775,2822.086637,1642.583604,0.132287581,0.003921569
19416101,-0.8020477,3.5793304,9.519333,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,276,183,0,0,0.83750004,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19416101,-0.8020477,3.5793304,9.519333,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,276,183,0,0,0.83750004,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19416240,-0.23701477,3.5649567,9.327805,-0.23701477,3.5649567,9.327805,-0.23701477,3.5649567,9.327805,-0.23701477,3.5649567,9.327805,-0.23701477,3.5649567,9.327805,-0.23701477,3.5649567,9.327805,651.57587,135.30719,6355.82,-1479.1683,0.83750004,0.027450982,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19416357,-0.54826355,3.4931335,9.476242,-0.54826355,3.4931335,9.476242,-0.54826355,3.4931335,9.476242,0.16239929,0.07015991,0.30529785,0.16239929,0.07015991,0.30529785,0.16239929,0.07015991,0.30529785,1130.7699,84.17108,1102.2611,244.93813,0.83750004,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19416540,-0.21307373,3.2249756,8.997406,-0.21307373,3.2249756,8.997406,-0.21307373,3.2249756,8.997406,-0.21307373,3.2249756,8.997406,-0.21307373,3.2249756,8.997406,-0.21307373,3.2249756,8.997406,736.7239,586.0349,-2520.6135,3349.3728,0.83750004,0.027450982,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19416791,-0.25616455,3.3973694,9.366104,-0.25616455,3.3973694,9.366104,-0.25616455,3.3973694,9.366104,-0.25616455,3.3973694,9.366104,-0.25616455,3.3973694,9.366104,-0.25616455,3.3973694,9.366104,383.7928,1110.7404,-1305.5667,2363.9595,0.83750004,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
