TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name
17729442,-1.5274963,6.9671173,7.3310394,-1.5274963,6.9671173,7.3310394,-1.5274963,6.9671173,7.3310394,-1.5274963,6.9671173,7.3310394,0.44577026,-0.19482422,0.9293976,0.44577026,-0.19482422,0.9293976,1062.7284,826.376,1504.429,-1898.2128,0.83750004,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729709,-3.720581,7.6279144,5.937607,-3.720581,7.6279144,5.937607,0.13209534,0.2950592,-0.15020752,0.13209534,0.2950592,-0.15020752,0.13209534,0.2950592,-0.15020752,0.13209534,0.2950592,-0.15020752,809.3972,382.64227,-2333.2139,-1814.7178,0.83750004,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729862,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,657,233,0,0,0.83750004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730079,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,209,683,0,0,1.1,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730079,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,209,683,0,0,1.1,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730260,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,556.3719,1170.8044,1862.2808,2413.1526,0.8,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730477,-2.4660187,6.7420654,7.1490784,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,1083.8336,847.4164,2632.6658,-3402.0298,0.8,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730744,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,860.01605,333.21027,-3300.4329,-2133.2632,0.8,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730916,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,587.30743,204,0,0,0.45000002,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731109,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,187,631,0,0,1.15,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731109,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,187,631,0,0,1.15,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731311,-2.0350647,6.8330383,6.957535,-2.0350647,6.8330383,6.957535,-2.0350647,6.8330383,6.957535,-2.0350647,6.8330383,6.957535,-2.0350647,6.8330383,6.957535,-2.0350647,6.8330383,6.957535,596.30725,1115.426,1222.1261,1280.9064,0.8,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731478,-3.0310516,6.6079865,6.952759,-3.0310516,6.6079865,6.952759,0.46871948,0.50917053,-0.1171875,0.46871948,0.50917053,-0.1171875,0.46871948,0.50917053,-0.1171875,0.46871948,0.50917053,-0.1171875,1072.5975,815.8026,2025.0758,-2029.843,0.8,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731728,-2.8059998,7.029373,5.846634,-2.8059998,7.029373,5.846634,-2.8059998,7.029373,5.846634,-2.8059998,7.029373,5.846634,-2.8059998,7.029373,5.846634,-2.8059998,7.029373,5.846634,835.9906,312.95935,-3698.9475,-2442.2205,0.8,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731907,-4.3239136,7.0581055,5.9519806,-4.3239136,7.0581055,5.9519806,-4.3239136,7.0581055,5.9519806,-4.3239136,7.0581055,5.9519806,-4.3239136,7.0581055,5.9519806,-4.3239136,7.0581055,5.9519806,596,199,0,0,0.4625,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",5,Matt
17732140,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,172,724,0,0,0.90000004,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",5,Matt
17732140,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,-3.1842804,6.957535,4.601654,172,724,0,0,0.90000004,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",5,Matt
17732412,-2.1691437,6.8330383,6.3111115,-2.1691437,6.8330383,6.3111115,-2.1691437,6.8330383,6.3111115,-2.1691437,6.8330383,6.3111115,-2.1691437,6.8330383,6.3111115,-2.1691437,6.8330383,6.3111115,569.473,1138.3153,1871.8088,1225.0421,0.6875,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",5,Matt
17732596,-2.5043335,6.890503,6.459549,-2.5043335,6.890503,6.459549,-2.5043335,6.890503,6.459549,-2.5043335,6.890503,6.459549,-2.5043335,6.890503,6.459549,-2.5043335,6.890503,6.459549,1097.1204,833.60376,2014.3817,-2127.9465,0.6875,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",5,Matt
17732863,-4.1323853,7.3597717,4.491516,-4.1323853,7.3597717,4.491516,-4.1323853,7.3597717,4.491516,-4.1323853,7.3597717,4.491516,-4.1323853,7.3597717,4.491516,-4.1323853,7.3597717,4.491516,822.62085,324.99402,-4343.43,-2427.0935,0.975,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",5,Matt
17733063,-4.8219147,7.9439545,3.3423004,-4.8219147,7.9439545,3.3423004,-4.8219147,7.9439545,3.3423004,-4.8219147,7.9439545,3.3423004,-4.8219147,7.9439545,3.3423004,-4.8219147,7.9439545,3.3423004,596,203,0,0,0.4,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",6,Matt
17733288,-3.2225952,7.3310394,5.348633,-3.2225952,7.3310394,5.348633,-3.2225952,7.3310394,5.348633,-3.2225952,7.3310394,5.348633,0.28430176,0.02796936,-0.17730713,0.28430176,0.02796936,-0.17730713,178,707,0,0,0.7,0.023529414,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",6,Matt
17733288,-3.2225952,7.3310394,5.348633,-3.2225952,7.3310394,5.348633,-3.2225952,7.3310394,5.348633,-3.2225952,7.3310394,5.348633,0.28430176,0.02796936,-0.17730713,0.28430176,0.02796936,-0.17730713,178,707,0,0,0.7,0.023529414,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",6,Matt
17733513,-1.9440765,7.1299286,6.5361633,-1.9440765,7.1299286,6.5361633,-1.9440765,7.1299286,6.5361633,-1.9440765,7.1299286,6.5361633,-1.9440765,7.1299286,6.5361633,-1.9440765,7.1299286,6.5361633,560.0253,1224.0304,1293.4359,1552.1779,0.95,0.023529414,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",6,Matt
17733747,-2.178711,6.8138885,6.6367188,-2.178711,6.8138885,6.6367188,-2.178711,6.8138885,6.6367188,-2.178711,6.8138885,6.6367188,-2.178711,6.8138885,6.6367188,-2.178711,6.8138885,6.6367188,1065.8805,793.015,2242.6636,-2514.601,0.6875,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",6,Matt
17733997,-3.2369537,8.010986,4.92247,-3.2369537,8.010986,4.92247,-3.2369537,8.010986,4.92247,-3.2369537,8.010986,4.92247,-3.2369537,8.010986,4.92247,-3.2369537,8.010986,4.92247,810.1794,375.0995,-2339.6423,-1993.5145,0.95,0.023529414,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",6,Matt
17734188,-4.0653534,7.72847,4.735718,-4.0653534,7.72847,4.735718,-4.0653534,7.72847,4.735718,-4.0653534,7.72847,4.735718,-4.0653534,7.72847,4.735718,-4.0653534,7.72847,4.735718,668.5,226,0,0,0.45000002,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",7,Matt
