TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,
19984348,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,-0.015258789,0.20649719,0.39593506,-0.015258789,0.20649719,0.39593506,258.56778,816.2189,1995.0697,-7404.2627,0.8,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19984458,0.28729248,4.984726,8.75798,0.28729248,4.984726,8.75798,0.28729248,4.984726,8.75798,0.26028442,0.08833313,0.39091492,0.26028442,0.08833313,0.39091492,0.26028442,0.08833313,0.39091492,324.5,614,0,0,0.3,0.007843138," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",3
19984664,0.48362732,5.2672424,8.53772,0.48362732,5.2672424,8.53772,0.48362732,5.2672424,8.53772,0.26327515,0.09011841,0.39422607,0.26327515,0.09011841,0.39422607,0.26327515,0.09011841,0.39422607,773,186,0,0,0.725,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",3
19984664,0.48362732,5.2672424,8.53772,0.48362732,5.2672424,8.53772,0.48362732,5.2672424,8.53772,0.26327515,0.09011841,0.39422607,0.26327515,0.09011841,0.39422607,0.26327515,0.09011841,0.39422607,773,186,0,0,0.725,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",3
19984765,0.45968628,5.2289276,8.877686,0.45968628,5.2289276,8.877686,0.45968628,5.2289276,8.877686,0.45968628,5.2289276,8.877686,0.45968628,5.2289276,8.877686,0.45968628,5.2289276,8.877686,736.2047,599.76294,-183.3757,6104.3877,0.725,0.011764707," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",3
19984965,0.3543396,5.324692,8.499405,0.3543396,5.324692,8.499405,0.3543396,5.324692,8.499405,0.3543396,5.324692,8.499405,0.3543396,5.324692,8.499405,0.3543396,5.324692,8.499405,356.95175,1132.5361,-2819.8367,2107.724,0.725,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",3
19985149,0.5506592,5.08049,8.446732,16.178894,-5.4611206,-39.96277,16.178894,-5.4611206,-39.96277,16.178894,-5.4611206,-39.96277,16.178894,-5.4611206,-39.96277,16.178894,-5.4611206,-39.96277,297.33875,838.97217,901.5398,-4636.9517,0.725,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19985240,0.40222168,4.7740326,8.896851,0.40222168,4.7740326,8.896851,0.40222168,4.7740326,8.896851,0.40222168,4.7740326,8.896851,0.40222168,4.7740326,8.896851,0.40222168,4.7740326,8.896851,337.5,680.5,0,0,0.3375,0.003921569," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",4
19985430,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,752,189,0,0,0.4,0.007843138," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",4
19985430,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,0.43572998,5.262451,8.59996,752,189,0,0,0.4,0.007843138," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",4
