TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern
19119709,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,297,673,0,0,0.35,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,James,A
19119709,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,297,673,0,0,0.35,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,James,A
19119950,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,611.8482,1086.5571,1297.3408,2075.7031,0.6375,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,James,A
19120201,-0.7493744,5.2552643,8.216888,-0.7493744,5.2552643,8.216888,0.030899048,-0.003189087,-0.054336548,0.030899048,-0.003189087,-0.054336548,0.030899048,-0.003189087,-0.054336548,0.030899048,-0.003189087,-0.054336548,1136.2618,860.93494,2561.9392,-2751.3926,0.6375,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,James,A
19120552,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,851.4247,295.14966,-1686.9938,-1816.7688,0.6375,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,James,A
19120742,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,729,212,0,0,0.25,0.003921569,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,James,A
19121114,-1.3527222,5.743683,7.977478,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,277,691,0,0,0.475,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,James,A
19121114,-1.3527222,5.743683,7.977478,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,277,691,0,0,0.475,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,James,A
19121338,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,600.1589,1079.171,1829.1178,1900.7151,0.475,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,James,A
19121572,-1.2282104,5.5713043,7.9056396,-1.2282104,5.5713043,7.9056396,-1.2282104,5.5713043,7.9056396,0.17936707,0.24546814,0.63967896,0.17936707,0.24546814,0.63967896,0.17936707,0.24546814,0.63967896,1072.6676,808.3325,2172.2625,-1803.0865,0.475,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,James,A
19121806,-1.285675,5.5138397,8.192947,32.188416,-12.42218,-19.9234,32.188416,-12.42218,-19.9234,32.188416,-12.42218,-19.9234,32.188416,-12.42218,-19.9234,32.188416,-12.42218,-19.9234,857.92523,282.87537,-1043.4459,-1871.6356,0.475,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,James,A
19121947,-1.0031586,5.360611,8.240829,-1.0031586,5.360611,8.240829,-1.0031586,5.360611,8.240829,0.18263245,0.25123596,0.6328125,0.18263245,0.25123596,0.6328125,0.18263245,0.25123596,0.6328125,807,196.5,0,0,0.475,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,James,A
19122283,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,279,765,0,0,0.65000004,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,James,A
19122283,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,-1.3862305,5.8729706,8.04451,279,765,0,0,0.65000004,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,James,A
19122457,-1.3287811,5.9208527,8.020569,-1.3287811,5.9208527,8.020569,-1.3287811,5.9208527,8.020569,-1.3287811,5.9208527,8.020569,-1.3287811,5.9208527,8.020569,-1.3287811,5.9208527,8.020569,595.98236,1130.4453,1637.1486,1549.0765,0.65000004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,James,A
19122691,-0.9840088,5.590454,7.8529663,-0.9840088,5.590454,7.8529663,-0.9840088,5.590454,7.8529663,-0.9840088,5.590454,7.8529663,-0.9840088,5.590454,7.8529663,-0.9840088,5.590454,7.8529663,1102.26,869.2838,2093.7383,-2993.076,0.65000004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,James,A
19122958,-1.6304474,5.8969116,8.078033,-1.6304474,5.8969116,8.078033,-0.09371948,-0.12675476,0.039398193,-0.09371948,-0.12675476,0.039398193,-0.09371948,-0.12675476,0.039398193,-0.09371948,-0.12675476,0.039398193,865.06995,299.44995,-1680.2477,-2828.2295,0.65000004,0.023529414,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,James,A
19123069,-1.5490417,5.7293243,7.4028625,-1.5490417,5.7293243,7.4028625,-1.5490417,5.7293243,7.4028625,-1.5490417,5.7293243,7.4028625,-1.5490417,5.7293243,7.4028625,-1.5490417,5.7293243,7.4028625,771.5,174.5,0,0,0.65000004,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,James,A
19123524,-1.0749817,5.31752,8.480255,-1.0749817,5.31752,8.480255,-1.0749817,5.31752,8.480255,0.17308044,0.23490906,0.6476135,0.17308044,0.23490906,0.6476135,0.17308044,0.23490906,0.6476135,280,718,0,0,0.6125,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,James,A
19123524,-1.0749817,5.31752,8.480255,-1.0749817,5.31752,8.480255,-1.0749817,5.31752,8.480255,0.17308044,0.23490906,0.6476135,0.17308044,0.23490906,0.6476135,0.17308044,0.23490906,0.6476135,280,718,0,0,0.6125,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,James,A
19123694,-0.42855835,5.9447937,8.532928,-0.42855835,5.9447937,8.532928,-0.42855835,5.9447937,8.532928,0.186203,0.20799255,0.63560486,0.186203,0.20799255,0.63560486,0.186203,0.20799255,0.63560486,577.41156,1115.5382,1639.9316,2233.7493,0.6125,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,James,A
19123911,-0.3088379,5.092453,8.394058,-0.3088379,5.092453,8.394058,-0.3088379,5.092453,8.394058,-0.3088379,5.092453,8.394058,-0.3088379,5.092453,8.394058,-0.3088379,5.092453,8.394058,1078.731,845.1963,2363.3562,-3673.5857,0.6125,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,James,A
