TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,,,
19447398,-0.8164215,4.000702,8.901627,-0.8164215,4.000702,8.901627,-0.8164215,4.000702,8.901627,0.17584229,0.1005249,0.3563385,0.17584229,0.1005249,0.3563385,0.17584229,0.1005249,0.3563385,241,279,0,0,0.83750004,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",38
19447398,-0.8164215,4.000702,8.901627,-0.8164215,4.000702,8.901627,-0.8164215,4.000702,8.901627,0.17584229,0.1005249,0.3563385,0.17584229,0.1005249,0.3563385,0.17584229,0.1005249,0.3563385,241,279,0,0,0.83750004,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",38
19447533,-0.13645935,3.6272125,8.796295,-0.13645935,3.6272125,8.796295,-0.13645935,3.6272125,8.796295,-0.13645935,3.6272125,8.796295,-0.13645935,3.6272125,8.796295,-0.13645935,3.6272125,8.796295,647.2262,217.42389,6955.018,-1234.0873,0.83750004,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",38
19447600,-0.8020477,3.641571,8.968674,-0.8020477,3.641571,8.968674,-0.8020477,3.641571,8.968674,0.16816711,0.10147095,0.35733032,0.16816711,0.10147095,0.35733032,0.16816711,0.10147095,0.35733032,1068.2427,145.89197,4577.855,-570.079,0.83750004,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",38
19447800,-0.5817871,3.593689,9.054871,-0.5817871,3.593689,9.054871,-0.5817871,3.593689,9.054871,0.16810608,0.101501465,0.3580475,0.16810608,0.101501465,0.3580475,0.16810608,0.101501465,0.3580475,819.9682,607.20435,-4955.575,4859.1895,0.83750004,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",38
19447900,-0.6392517,3.7612762,9.208099,-0.6392517,3.7612762,9.208099,-0.6392517,3.7612762,9.208099,-0.6392517,3.7612762,9.208099,-0.6392517,3.7612762,9.208099,-0.6392517,3.7612762,9.208099,354.7522,1080.3918,-3185.5127,3561.9478,0.83750004,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19448039,-0.7781067,3.7229767,8.863327,-0.7781067,3.7229767,8.863327,-0.7781067,3.7229767,8.863327,-0.7781067,3.7229767,8.863327,-0.7781067,3.7229767,8.863327,-0.7781067,3.7229767,8.863327,203,1255.537,0,0,0.52500004,0.003921569," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",39
19448273,-0.8499298,4.024643,9.030914,-0.8499298,4.024643,9.030914,-0.8499298,4.024643,9.030914,-0.8499298,4.024643,9.030914,-0.24046326,0.14424133,0.045333862,-0.24046326,0.14424133,0.045333862,212,251,0,0,0.925,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",39
19448273,-0.8499298,4.024643,9.030914,-0.8499298,4.024643,9.030914,-0.8499298,4.024643,9.030914,-0.8499298,4.024643,9.030914,-0.24046326,0.14424133,0.045333862,-0.24046326,0.14424133,0.045333862,212,251,0,0,0.925,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",39
19448400,-0.50038147,4.1060486,9.658203,-0.50038147,4.1060486,9.658203,0.047943115,-0.008514404,-0.036224365,0.047943115,-0.008514404,-0.036224365,0.047943115,-0.008514404,-0.036224365,0.047943115,-0.008514404,-0.036224365,546.6346,214.97803,5877.2446,-1014.84576,0.925,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",39
19448517,-0.6871338,3.7947998,9.059647,-0.6871338,3.7947998,9.059647,-0.6871338,3.7947998,9.059647,-0.6871338,3.7947998,9.059647,-0.6871338,3.7947998,9.059647,-0.6871338,3.7947998,9.059647,1047.2485,160.84967,1814.7524,371.29288,0.925,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",39
19448684,-0.87387085,3.8474731,9.102753,-0.87387085,3.8474731,9.102753,-0.87387085,3.8474731,9.102753,-0.87387085,3.8474731,9.102753,-0.87387085,3.8474731,9.102753,-0.87387085,3.8474731,9.102753,733.2971,612.4241,-4946.3843,5193.13,0.925,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",39
19448784,-0.67276,3.9719696,8.87291,-0.67276,3.9719696,8.87291,-0.67276,3.9719696,8.87291,-0.67276,3.9719696,8.87291,-0.67276,3.9719696,8.87291,-0.67276,3.9719696,8.87291,306.62796,1112.4205,-2518.7468,2576.01,0.925,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19448948,-0.9361267,3.6798859,9.203308,-0.9361267,3.6798859,9.203308,-0.9361267,3.6798859,9.203308,-0.9361267,3.6798859,9.203308,-0.9361267,3.6798859,9.203308,-0.9361267,3.6798859,9.203308,187.6027,1255,0,0,0.6625,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",40
19449201,-0.79248047,3.914505,9.184143,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,234,228,0,0,0.925,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",40
19449201,-0.79248047,3.914505,9.184143,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,234,228,0,0,0.925,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",40
19449318,-0.81163025,3.9911194,9.619888,-0.81163025,3.9911194,9.619888,-0.81163025,3.9911194,9.619888,0.17228699,0.102127075,0.3561554,0.17228699,0.102127075,0.3561554,0.17228699,0.102127075,0.3561554,589.273,176.74097,6486.941,-1224.0483,0.925,0.019607844," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",40
19449418,-0.82598877,3.8522644,8.9878235,-0.82598877,3.8522644,8.9878235,-0.82598877,3.8522644,8.9878235,-0.82598877,3.8522644,8.9878235,-0.82598877,3.8522644,8.9878235,-0.82598877,3.8522644,8.9878235,1115.5785,101.05786,2341.5295,331.7792,0.925,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",40
19449585,-0.7589569,3.7325592,9.121902,22.616577,8.634949,-31.77948,0.06072998,-0.055389404,0.004257202,0.06072998,-0.055389404,0.004257202,0.06072998,-0.055389404,0.004257202,0.06072998,-0.055389404,0.004257202,785.0287,588.7793,-5911.005,6144.2456,0.925,0.019607844," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",40
19449702,-0.72543335,3.8378906,9.141052,-0.72543335,3.8378906,9.141052,-0.72543335,3.8378906,9.141052,0.17437744,0.09953308,0.35551453,0.17437744,0.09953308,0.35551453,0.17437744,0.09953308,0.35551453,316.5786,1119.8951,-2525.0396,3461.483,0.925,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19449793,-0.38545227,3.914505,9.203308,21.920776,10.374451,-32.113647,0.054336548,0.19067383,-0.024505615,0.054336548,0.19067383,-0.024505615,0.24613953,0.069122314,0.20425415,0.24613953,0.069122314,0.20425415,232.5,1245.5,0,0,0.65000004,0.011764707," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",41
19450027,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,242,316,0,0,0.32500002,0.007843138," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",41
19450027,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,-0.85472107,3.9959106,8.959091,242,316,0,0,0.32500002,0.007843138," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",41
19450153,-0.7206421,4.0342255,9.457092,-0.7206421,4.0342255,9.457092,-0.7206421,4.0342255,9.457092,-0.7206421,4.0342255,9.457092,-0.7206421,4.0342255,9.457092,-0.7206421,4.0342255,9.457092,591.7876,265.95343,6631.0493,-859.3591,0.8875,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",41
19450236,-0.50038147,3.7086182,8.925583,-0.50038147,3.7086182,8.925583,-0.50038147,3.7086182,8.925583,-0.50038147,3.7086182,8.925583,-0.50038147,3.7086182,8.925583,-0.50038147,3.7086182,8.925583,1047.7445,203.10461,2816.331,-206.0862,0.8875,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",41
