 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN,velocity_x_MEAN,velocity_y_MEAN,pressure_MEAN,size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
10,Matt,A,-3.1571425833,7.4284032333,4.6032435167,-3.1571425833,7.4284032333,4.6032435167,-3.1571425833,7.4284032333,4.6032435167,-3.1571425833,7.4284032333,4.6032435167,-3.1571425833,7.4284032333,4.6032435167,-3.1571425833,7.4284032333,4.6032435167,327.13035,-552.4113333333,0.79166667,0.0241830078,1.0073902902,0.3058217976,1.7870888773,1.0073902902,0.3058217976,1.7870888773,1.0073902902,0.3058217976,1.7870888773,1.0073902902,0.3058217976,1.7870888773,1.0073902902,0.3058217976,1.7870888773,1.0073902902,0.3058217976,1.7870888773,1798.0632957333,2112.2024050394,0.3358447006,0.0114779884
11,Matt,A,-3.072553,7.3908921167,5.5050583,-3.072553,7.3908921167,5.5050583,-3.072553,7.3908921167,5.5050583,-3.072553,7.3908921167,5.5050583,-2.0506312083,4.9569117868,3.5897979817,-2.0506312083,4.9569117868,3.5897979817,283.0780666667,-241.6571166667,0.7833333333,0.0209150338,0.7622183168,0.2886830708,0.6494293273,0.7622183168,0.2886830708,0.6494293273,0.7622183168,0.2886830708,0.6494293273,0.7622183168,0.2886830708,0.6494293273,1.8034772531,3.8388790453,2.5365950618,1.8034772531,3.8388790453,2.5365950618,1264.7835292114,1368.561893089,0.1761864543,0.0059040999
12,Matt,A,-2.94486235,7.5744476667,5.4148789,-2.02393085,3.4332352333,4.6944326333,-2.02393085,3.4332352333,4.6944326333,-2.02393085,3.4332352333,4.6944326333,-1.3023758067,3.76814274,2.7989399967,-1.3023758067,3.76814274,2.7989399967,188.8602,-525.7066666667,0.8,0.0241830078,0.5589297757,0.2015118622,0.3490253827,2.3353851115,9.9846998456,1.7869792411,2.3353851115,9.9846998456,1.7869792411,2.3353851115,9.9846998456,1.7869792411,1.9513746913,4.1605024762,2.9522524296,1.9513746913,4.1605024762,2.9522524296,1518.4541072489,1363.5323313436,0.2572693141,0.0114779884
13,Matt,A,-2.9927444667,7.6263248833,5.2512767,-2.3835322233,3.5654424333,4.6374308667,-2.3835322233,3.5654424333,4.6374308667,-2.5548706217,6.40254202,4.48831181,-2.5548706217,6.40254202,4.48831181,-2.5548706217,6.40254202,4.48831181,285.93945,-431.0497333333,0.8416667133,0.020261439,0.681322985,0.2234861434,0.6825618203,1.7277429068,9.8805670769,1.5514274465,1.7277429068,9.8805670769,1.5514274465,1.3512797171,2.9365407329,1.8870852659,1.3512797171,2.9365407329,1.8870852659,1.3512797171,2.9365407329,1.8870852659,1397.2731252183,1449.1656549269,0.2823635621,0.009738343
14,Matt,A,-3.2289734167,7.3717423,5.4475962833,-3.2289734167,7.3717423,5.4475962833,-3.2289734167,7.3717423,5.4475962833,-3.2289734167,7.3717423,5.4475962833,-1.0533243883,2.3923314583,1.83036551,-1.0533243883,2.3923314583,1.83036551,394.8296833333,-367.9015166667,0.6979166667,0.0183006548,0.8596938263,0.2625998776,0.6612613698,0.8596938263,0.2625998776,0.6612613698,0.8596938263,0.2625998776,0.6612613698,0.8596938263,0.2625998776,0.6612613698,2.0703754534,3.7801867816,2.6728619677,2.0703754534,3.7801867816,2.6728619677,1603.5018808401,1674.5713666139,0.2308160342,0.0084715572
15,Matt,A,-2.84031165,7.17461645,5.6167907333,0.6983515667,-5.2152099333,3.39694721,0.0082855555,-2.1959635333,3.2125879767,0.2551396988,-3.2906926233,2.3414967933,0.2551396988,-3.2906926233,2.3414967933,0.2551396988,-3.2906926233,2.3414967933,311.5743,-785.0043666667,0.6729166733,0.0189542495,0.7709078767,0.4546002488,0.7006588311,3.7503948841,13.1730576765,2.840662289,3.3425488223,11.7010953119,3.0587085984,3.2505334819,10.954169923,2.796621896,3.2505334819,10.954169923,2.796621896,3.2505334819,10.954169923,2.796621896,1569.2938431755,2067.5694129634,0.1445719209,0.0038556561
16,Matt,A,-3.0893096833,7.5664723333,5.5864613833,-3.0788370667,3.7053527333,4.93379975,-2.5692138633,2.5263213633,4.0309905683,-2.5692138633,2.5263213633,4.0309905683,-2.5692138633,2.5263213633,4.0309905683,-2.5692138633,2.5263213633,4.0309905683,368.9822166667,-454.8001166667,0.7145833333,0.0228758178,0.998056805,0.2971031416,1.0220202781,1.0122238064,9.6094007979,1.3602280553,1.6467005779,9.4890651556,2.4298132776,1.6467005779,9.4890651556,2.4298132776,1.6467005779,9.4890651556,2.4298132776,1.6467005779,9.4890651556,2.4298132776,1886.2312655484,1595.3275435238,0.2487991995,0.0109289179
17,Matt,A,-3.3183543,7.60956315,5.4260534167,-0.7539367859,-4.46161395,3.7752430833,-0.7539367859,-4.46161395,3.7752430833,-1.7654419167,4.0791981567,3.0200957833,-1.7654419167,4.0791981567,3.0200957833,-1.7654419167,4.0791981567,3.0200957833,171.29846,-307.6103833333,0.8604167,0.0241830078,0.5075688838,0.2321373514,0.6416404975,3.0514273984,13.3694131965,1.6315272884,3.0514273984,13.3694131965,1.6315272884,1.7841109956,4.0059491778,2.3673390442,1.7841109956,4.0059491778,2.3673390442,1.7841109956,4.0059491778,2.3673390442,1119.2363417571,1291.6164942547,0.2133683595,0.0062826745
18,Matt,A,-3.0486094833,7.5114007667,5.5433681667,-3.0486094833,7.5114007667,5.5433681667,-3.0486094833,7.5114007667,5.5433681667,-1.40702058,3.9281183617,3.2454122667,-1.40702058,3.9281183617,3.2454122667,-1.40702058,3.9281183617,3.2454122667,0.8145,-455.7708333333,0.84583334,0.0235294128,0.6864039648,0.1616679883,0.534296426,0.6864039648,0.1616679883,0.534296426,0.6864039648,0.1616679883,0.534296426,1.3923369514,3.8259334852,2.6326792432,1.3923369514,3.8259334852,2.6326792432,1.3923369514,3.8259334852,2.6326792432,1854.3206369583,1185.8987168414,0.1848422639,0.0060752683
19,Matt,A,-3.10128275,7.4292017667,5.36619555,-0.11697635,-0.99524935,4.5708896667,-0.11697635,-0.99524935,4.5708896667,-0.11697635,-0.99524935,4.5708896667,1.42825325,-4.644653249,1.6907450067,1.42825325,-4.644653249,1.6907450067,245.4214,-367.2787166667,0.5187500133,0.0130718965,0.8281417273,0.3147095491,0.9689872136,3.8677351817,12.7621716452,2.1230526475,3.8677351817,12.7621716452,2.1230526475,3.8677351817,12.7621716452,2.1230526475,2.8825205717,10.3365051554,2.3131272792,2.8825205717,10.3365051554,2.3131272792,1667.3060486551,1747.9222195268,0.2036771396,0.0091689827
