TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
17251697,-1.716629,7.1251373,6.9958496,-1.716629,7.1251373,6.9958496,-1.716629,7.1251373,6.9958496,-1.716629,7.1251373,6.9958496,-0.06942749,0.058044434,0.39952087,-0.06942749,0.058044434,0.39952087,186,593.40674,0,0,0.5,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",35
17251957,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,746,293,0,0,0.375,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",35
17251957,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,-1.5059509,7.0389404,6.8282623,746,293,0,0,0.375,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",35
17252110,-1.6591797,7.249634,6.8761444,10.783386,-4.2419434,-12.07428,10.783386,-4.2419434,-12.07428,10.783386,-4.2419434,-12.07428,10.783386,-4.2419434,-12.07428,10.783386,-4.2419434,-12.07428,665.63055,598.2053,-1840.856,5034.834,0.75,0.011764707,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",35
17252227,-1.2569427,6.7899475,6.9719086,-1.2569427,6.7899475,6.9719086,-1.2569427,6.7899475,6.9719086,-1.2569427,6.7899475,6.9719086,-1.2569427,6.7899475,6.9719086,-1.2569427,6.7899475,6.9719086,397.24164,1134.3445,-2383.1763,3178.739,0.75,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",35
17252461,-1.8602905,7.211334,6.6463013,-1.8602905,7.211334,6.6463013,-1.8602905,7.211334,6.6463013,-1.8602905,7.211334,6.6463013,-1.8602905,7.211334,6.6463013,-1.8602905,7.211334,6.6463013,257.72876,880.78125,131.41231,-3396.8547,0.75,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",35
,,,,,,,,,,,,,,,,,,,,,,,,,,
17252739,-1.6448059,6.9000854,7.091614,-1.6448059,6.9000854,7.091614,-1.6448059,6.9000854,7.091614,-1.6448059,6.9000854,7.091614,-1.6448059,6.9000854,7.091614,-1.6448059,6.9000854,7.091614,269,610,0,0,0.3625,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",36
17253014,-1.5969238,7.139496,6.7468567,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,698,260,0,0,0.4125,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",36
17253014,-1.5969238,7.139496,6.7468567,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,698,260,0,0,0.4125,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",36
