TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
17636262,-0.78289795,5.9998627,7.620743,-0.78289795,5.9998627,7.620743,-0.78289795,5.9998627,7.620743,0.23477173,0.23396301,0.56396484,0.23477173,0.23396301,0.56396484,0.23477173,0.23396301,0.56396484,264.67462,1234.6508,0,0,0.26250002,0.003921569,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",35
17636667,-1.1803284,6.2680054,7.6590424,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,275,296,0,0,0.5,0.011764707,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",35
17636667,-1.1803284,6.2680054,7.6590424,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,275,296,0,0,0.5,0.011764707,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",35
17636787,-1.0893555,6.4930725,7.783539,-1.0893555,6.4930725,7.783539,-0.04046631,0.03514099,-0.009597778,-0.04046631,0.03514099,-0.009597778,-0.04046631,0.03514099,-0.009597778,-0.04046631,0.03514099,-0.009597778,546.30237,250.21222,5087.99,-653.53564,0.77500004,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",35
17636888,-0.7302246,6.1530914,7.357376,-0.7302246,6.1530914,7.357376,-0.7302246,6.1530914,7.357376,-0.7302246,6.1530914,7.357376,-0.7302246,6.1530914,7.357376,-0.7302246,6.1530914,7.357376,1073.7085,187.7644,3380.121,-333.3449,0.77500004,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",35
17637088,-0.84513855,6.234497,7.3621674,-0.84513855,6.234497,7.3621674,-0.84513855,6.234497,7.3621674,-0.84513855,6.234497,7.3621674,-0.84513855,6.234497,7.3621674,-0.84513855,6.234497,7.3621674,722.66376,625.31226,-5399.8633,5138.883,0.77500004,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",35
17637205,-1.0223236,6.0238037,7.9798737,10.261536,-6.504822,-10.905457,10.261536,-6.504822,-10.905457,0.23495483,0.23956299,0.5642853,0.23495483,0.23956299,0.5642853,0.23495483,0.23956299,0.5642853,333.46368,1058.9508,-1182.9741,1721.3098,0.77500004,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",35
,,,,,,,,,,,,,,,,,,,,,,,,,,
17637357,-1.0749817,6.100418,7.6351013,-1.0749817,6.100418,7.6351013,-1.0749817,6.100418,7.6351013,-1.0749817,6.100418,7.6351013,-1.0749817,6.100418,7.6351013,-1.0749817,6.100418,7.6351013,268,1150,0,0,0.5,0.007843138,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",36
17637813,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,248,229,0,0,0.375,0.007843138,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",36
17637813,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,-0.9361267,6.330261,7.2951202,248,229,0,0,0.375,0.007843138,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",36
17637939,-0.62008667,6.0812683,7.6590424,-0.62008667,6.0812683,7.6590424,-0.62008667,6.0812683,7.6590424,-0.62008667,6.0812683,7.6590424,-0.62008667,6.0812683,7.6590424,-0.62008667,6.0812683,7.6590424,586.522,218.65027,6199.853,-560.5807,0.77500004,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",36
17638023,-1.122879,6.2919617,7.376526,-1.122879,6.2919617,7.376526,-1.122879,6.2919617,7.376526,-1.122879,6.2919617,7.376526,-1.122879,6.2919617,7.376526,-1.122879,6.2919617,7.376526,1050.5991,168.62769,3319.64,-388.36047,0.77500004,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",36
17638223,-1.0366821,6.258438,7.467514,-1.0366821,6.258438,7.467514,-1.0366821,6.258438,7.467514,-1.0366821,6.258438,7.467514,-1.0366821,6.258438,7.467514,-1.0366821,6.258438,7.467514,763.04114,628.3103,-5997.908,5423.6665,0.77500004,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",36
17638323,-0.6919098,5.9711304,7.7787476,9.391785,-4.5913696,-10.070801,9.391785,-4.5913696,-10.070801,9.391785,-4.5913696,-10.070801,9.391785,-4.5913696,-10.070801,9.391785,-4.5913696,-10.070801,319.0214,1097.3048,-2126.0269,2958.3093,0.77500004,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",36
,,,,,,,,,,,,,,,,,,,,,,,,,,
17638478,-0.9792175,5.918457,7.3717346,9.913635,-6.852722,-11.239624,9.913635,-6.852722,-11.239624,9.913635,-6.852722,-11.239624,9.913635,-6.852722,-11.239624,9.913635,-6.852722,-11.239624,218,1240,0,0,0.475,0.003921569,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",37
17638910,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,293,295,0,0,0.7,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",37
17638910,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,-0.90260315,6.301529,7.4818726,293,295,0,0,0.7,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",37
17639024,-1.2042694,6.2727966,8.032532,8.869934,-5.4611206,-10.571289,8.869934,-5.4611206,-10.571289,8.869934,-5.4611206,-10.571289,-0.21861267,0.028427124,0.5356903,-0.21861267,0.028427124,0.5356903,570.8805,243.71198,4966.906,-401.69037,0.7,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",37
