TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern
19735298,-0.90979004,6.1028137,7.9128265,-0.90979004,6.1028137,7.9128265,-0.90979004,6.1028137,7.9128265,-0.90979004,6.1028137,7.9128265,-0.12135315,-0.08798218,0.3483429,-0.12135315,-0.08798218,0.3483429,374.05347,188.46771,-6267.2896,2178.1484,0.7625,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,James,C
19735369,-1.2593384,6.811493,8.099579,-1.2593384,6.811493,8.099579,-1.2593384,6.811493,8.099579,-1.2593384,6.811493,8.099579,-1.2593384,6.811493,8.099579,-1.2593384,6.811493,8.099579,225,251,0,0,0.2875,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736179,-0.6703644,6.835434,7.462723,-0.6703644,6.835434,7.462723,-0.6703644,6.835434,7.462723,0.2680664,0.2545166,0.5853729,0.2680664,0.2545166,0.5853729,0.2680664,0.2545166,0.5853729,248,697,0,0,0.5625,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736179,-0.6703644,6.835434,7.462723,-0.6703644,6.835434,7.462723,-0.6703644,6.835434,7.462723,0.2680664,0.2545166,0.5853729,0.2680664,0.2545166,0.5853729,0.2680664,0.2545166,0.5853729,248,697,0,0,0.5625,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736299,-0.79486084,6.3661804,7.5441284,-0.79486084,6.3661804,7.5441284,-0.79486084,6.3661804,7.5441284,-0.79486084,6.3661804,7.5441284,-0.79486084,6.3661804,7.5441284,-0.79486084,6.3661804,7.5441284,666.2407,736.54175,8430.166,1861.3868,0.5625,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736350,-0.0909729,6.251251,7.740448,-0.0909729,6.251251,7.740448,-0.0909729,6.251251,7.740448,-0.0909729,6.251251,7.740448,-0.0909729,6.251251,7.740448,-0.0909729,6.251251,7.740448,1033.7886,715.03845,6766.69,-2109.8882,0.5625,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736466,-0.8283844,6.0309906,7.333435,-0.8283844,6.0309906,7.333435,-0.8283844,6.0309906,7.333435,-0.8283844,6.0309906,7.333435,-0.8283844,6.0309906,7.333435,-0.8283844,6.0309906,7.333435,1286.0986,361.41895,-1141.6311,-4571.9424,0.5625,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736583,-0.36869812,6.3757477,7.9128265,-0.36869812,6.3757477,7.9128265,0.057525635,0.05218506,-0.031967163,0.057525635,0.05218506,-0.031967163,0.057525635,0.05218506,-0.031967163,0.057525635,0.05218506,-0.031967163,844.0257,155.6134,-6851.2075,736.4938,0.825,0.027450982,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736650,-0.7230377,6.24646,7.884094,-0.7230377,6.24646,7.884094,-0.7230377,6.24646,7.884094,-0.7230377,6.24646,7.884094,0.0843811,0.020935059,0.35029602,0.0843811,0.020935059,0.35029602,388.23996,197.90076,-6858.3936,1186.9889,0.825,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,James,C
19736731,-1.1156921,6.8498077,8.176193,-1.1156921,6.8498077,8.176193,-1.1156921,6.8498077,8.176193,-1.1156921,6.8498077,8.176193,-1.1156921,6.8498077,8.176193,-1.1156921,6.8498077,8.176193,156.84538,266.0562,0,0,0.2875,0.003921569,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
