TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
17216246,-2.6982574,6.7276917,6.5960236,12.350464,-4.4174194,-11.5737915,12.350464,-4.4174194,-11.5737915,12.350464,-4.4174194,-11.5737915,-0.064941406,-0.08154297,0.04862976,-0.064941406,-0.08154297,0.04862976,200.72966,847.8373,-284.13287,-2392.9368,0.675,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17216431,-2.6360016,6.842621,6.7779846,14.089966,-6.1569214,-12.576294,14.089966,-6.1569214,-12.576294,14.089966,-6.1569214,-12.576294,14.089966,-6.1569214,-12.576294,-2.6629486,6.935852,6.400894,198,620,0,0,0.375,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,Matt,D,-2.5609894167,6.9048716333,6.7580236333,2.2775624833,3.4044774167,0.1050695333,2.2775624833,3.4044774167,0.1050695333,2.2775624833,3.4044774167,0.1050695333,3.05822247,1.1964492733,-2.1748275547,0.2660700367,3.3785781733,0.988037112,-531.2816733333,432.1200333333,0.75,0.0183006548,0.4079972636,0.3722066869,0.4209191923,7.8235823215,5.8850811036,10.0201707862,7.8235823215,5.8850811036,10.0201707862,7.8235823215,5.8850811036,10.0201707862,7.3325348475,5.2017524034,8.7405128404,5.1591874997,4.13738334,7.5804095158,660.5836536214,2794.0439078998,0.1837117307,0.0059040998
17216676,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,704,240,0,0,0.825,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17216676,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,-2.956833,7.1538696,6.3709564,704,240,0,0,0.825,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17216830,-2.3726501,6.9288177,6.9359894,-2.3726501,6.9288177,6.9359894,-2.3726501,6.9288177,6.9359894,-2.3726501,6.9288177,6.9359894,-0.13362122,0.3695984,-0.0017852783,-0.13362122,0.3695984,-0.0017852783,695.4284,573.23914,-1002.99554,4785.562,0.825,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17216980,-1.8698578,6.1961823,7.486664,10.435486,-1.8066406,-13.076782,10.435486,-1.8066406,-13.076782,10.435486,-1.8066406,-13.076782,10.435486,-1.8066406,-13.076782,10.435486,-1.8066406,-13.076782,391.24057,1146.4332,-1583.7585,1628.271,0.825,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17217214,-2.573761,7.1538696,6.605591,-2.573761,7.1538696,6.605591,-2.573761,7.1538696,6.605591,-2.573761,7.1538696,6.605591,-0.12882996,0.46492004,-0.13601685,-0.12882996,0.46492004,-0.13601685,254.92627,879.52075,-600.936,-3821.1128,0.825,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17217444,-2.525879,6.6989746,6.87854,-2.525879,6.6989746,6.87854,-2.525879,6.6989746,6.87854,-2.525879,6.6989746,6.87854,-0.07974243,-0.0736084,0.2214508,-0.07974243,-0.0736084,0.2214508,243.33484,643,0,0,0.475,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",3,Matt,D,-2.5466257833,6.7029622167,6.86177575,0.4846801333,4.9882608833,3.6718495833,0.4846801333,4.9882608833,3.6718495833,-1.0863978383,3.4722518917,3.6023712133,-0.298105885,1.228586835,1.3599522967,-0.298105885,1.228586835,1.3599522967,-474.1718955398,625.3975333333,0.6520833333,0.0156862753,0.2113133737,0.2654275601,0.137610716,7.2629618561,4.1893597472,7.7145797612,7.2629618561,4.1893597472,7.7145797612,1.5233103766,3.5201291704,3.568851952,0.988640363,2.4644322996,2.7576955256,0.988640363,2.4644322996,2.7576955256,1161.4887117252,2805.4279306408,0.0867527617,0.004960436
17217686,-2.4923553,6.7229156,6.763611,-2.4923553,6.7229156,6.763611,-2.4923553,6.7229156,6.763611,0.306015,0.2576294,0.33454895,0.306015,0.2576294,0.33454895,0.306015,0.2576294,0.33454895,736,265,0,0,0.6875,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",3,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17217686,-2.4923553,6.7229156,6.763611,-2.4923553,6.7229156,6.763611,-2.4923553,6.7229156,6.763611,0.306015,0.2576294,0.33454895,0.306015,0.2576294,0.33454895,0.306015,0.2576294,0.33454895,736,265,0,0,0.6875,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",3,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
