 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
13,Matt,D,-1.7214202833,6.7237091,7.1857909833,-1.7214202833,6.7237091,7.1857909833,-1.4239527383,5.5904261167,6.0357716805,-1.4239527383,5.5904261167,6.0357716805,-0.6248118055,2.29386138,2.4974136455,-0.6248118055,2.29386138,2.4974136455,-495.0402066667,489.0140833333,0.5437500033,0.0124183013,0.1363140523,0.2261308892,0.2667581902,0.1363140523,0.2261308892,0.2667581902,0.7435884385,2.8227038391,2.9789746079,0.7435884385,2.8227038391,2.9789746079,0.9290033835,3.5406833078,3.6275784651,0.9290033835,3.5406833078,3.6275784651,626.6603406692,2276.3051796578,0.2296396585,0.004584491
14,Matt,D,-1.5833562117,6.6255519,6.8681589167,-1.5833562117,6.6255519,6.8681589167,-1.4134953717,5.652003016,5.5928496732,-1.4134953717,5.652003016,5.5928496732,-1.4134953717,5.652003016,5.5928496732,-1.4134953717,5.652003016,5.5928496732,-510.432575,509.9931333333,0.7354166667,0.0156862752,0.3451463384,0.4538299688,0.6794167945,0.3451463384,0.4538299688,0.6794167945,0.7351749915,2.7731411684,2.7861688505,0.7351749915,2.7731411684,2.7861688505,0.7351749915,2.7731411684,2.7861688505,0.7351749915,2.7731411684,2.7861688505,701.8900672305,2657.2537264712,0.1275775908,0.0042958632
15,Matt,D,-1.64720155,6.7668025,7.3573759833,0.4095230667,5.390976,4.1211369,0.4095230667,5.390976,4.1211369,1.0622635517,3.1378580783,1.826270995,1.0622635517,3.1378580783,1.826270995,1.0622635517,3.1378580783,1.826270995,-572.3615066667,345.01955,0.7104166667,0.0169934648,0.2888793535,0.3496293116,0.2115724298,5.2561271242,3.6986514697,7.772455179,5.2561271242,3.6986514697,7.772455179,5.0355097672,4.1402432121,7.4500196327,5.0355097672,4.1402432121,7.4500196327,5.0355097672,4.1402432121,7.4500196327,762.4991020689,1958.826729794,0.096958969,0.0032019474
16,Matt,D,-1.7421722167,6.72131095,6.97828925,0.4789403167,5.18960065,3.93186185,0.4789403167,5.18960065,3.93186185,0.4789403167,5.18960065,3.93186185,1.0291061133,2.8989054497,1.6657485833,1.0291061133,2.8989054497,1.6657485833,-439.0394293028,389.2301333333,0.5833333333,0.0150326805,0.3267441604,0.3272489227,0.1815464056,5.4838556108,3.6969671535,7.4346373239,5.4838556108,3.6969671535,7.4346373239,5.4838556108,3.6969671535,7.4346373239,5.2844460773,4.1345318159,7.1386632475,5.2844460773,4.1345318159,7.1386632475,920.4944098828,2439.3560141531,0.1020620726,0.0029520495
17,Matt,D,-1.7916539333,6.8801295,6.9599354833,5.31374875,1.0718791,-2.8758621833,5.31374875,1.0718791,-2.8758621833,5.8735784533,-0.97092945,-5.22006486,5.8735784533,-0.97092945,-5.22006486,5.8735784533,-0.97092945,-5.22006486,-613.8680783333,690.57305,0.5145833333,0.0104575168,0.3737836845,0.4092354679,0.425277212,7.6572469167,6.0841006541,10.9421101439,7.6572469167,6.0841006541,10.9421101439,7.0968536911,4.5783583796,8.6489985629,7.0968536911,4.5783583796,8.6489985629,7.0968536911,4.5783583796,8.6489985629,1158.9245690655,2737.9224435107,0.2306806053,0.0059040993
18,Matt,D,-1.8746541333,6.93200425,6.8633677,3.2500661,2.8541489167,0.1030273333,3.5294774217,1.6635895377,-1.057342535,3.5294774217,1.6635895377,-1.057342535,3.7937367583,0.5822602043,-2.25409444,3.7937367583,0.5822602043,-2.25409444,-734.40726784,851.7293833333,0.5541666733,0.0130718963,0.3425878001,0.3442397136,0.3520649265,7.8646267419,6.1793687286,10.6018391059,7.6706745929,5.898010057,10.0539537849,7.6706745929,5.898010057,10.0539537849,7.5006018046,5.471726074,9.244369254,7.5006018046,5.471726074,9.244369254,1161.0268670068,2810.1620565746,0.1871941879,0.002025089
19,Matt,D,-1.8786417333,6.7867533333,7.0389454333,-1.8786417333,6.7867533333,7.0389454333,-1.8786417333,6.7867533333,7.0389454333,-1.8786417333,6.7867533333,7.0389454333,-1.8786417333,6.7867533333,7.0389454333,-1.8786417333,6.7867533333,7.0389454333,-426.6187083333,598.1328833333,0.4479166667,0.0117647067,0.1067901356,0.2268868266,0.2865359735,0.1067901356,0.2268868266,0.2865359735,0.1067901356,0.2268868266,0.2865359735,0.1067901356,0.2268868266,0.2865359735,0.1067901356,0.2268868266,0.2865359735,0.1067901356,0.2268868266,0.2865359735,830.3537582567,2563.9585068696,0.096958969,0.0042958632
20,Matt,D,-1.7924524833,6.7923405333,6.9814834333,0.4890391833,4.8776346,3.6739705,0.4890391833,4.8776346,3.6739705,1.6333847783,1.4768193333,0.5238214733,1.6333847783,1.4768193333,0.5238214733,1.6333847783,1.4768193333,0.5238214733,-485.104625,641.9665,0.6333333333,0.0150326803,0.2911326719,0.3459826184,0.3410052669,5.6469817923,4.7365942232,7.9670281646,5.6469817923,4.7365942232,7.9670281646,5.1596665261,4.3059082159,7.2381533041,5.1596665261,4.3059082159,7.2381533041,5.1596665261,4.3059082159,7.2381533041,975.4734353937,2775.537075289,0.0714434508,0.0057723929
21,Matt,D,-1.5227050667,6.7819696833,7.01340485,8.52583825,-2.8325474833,-9.3004482167,6.535430875,-1.9370956207,-7.3784053707,6.8417841283,-3.0332692207,-8.4884695507,6.8417841283,-3.0332692207,-8.4884695507,6.8417841283,-3.0332692207,-8.4884695507,-347.2641910833,265.0008166667,0.48958336,0.009803922,0.120251716,0.2015410962,0.233463785,5.0071024872,4.7875892042,8.042164023,5.6780676924,4.6992540848,8.7381452676,5.1829526907,2.4965013215,6.7258108229,5.1829526907,2.4965013215,6.7258108229,5.1829526907,2.4965013215,6.7258108229,726.9836501582,2398.0605718405,0.2442356418,0.0064437949
22,Matt,D,-1.60091655,6.8785324,6.8721491667,2.1279500833,3.3001683333,0.2957688333,2.3439128098,2.2396468883,-0.9337004312,2.3439128098,2.2396468883,-0.9337004312,2.6054052165,1.0948460817,-2.0705463462,2.6054052165,1.0948460817,-2.0705463462,-717.7037483667,771.7373666667,0.5395833333,0.0169934652,0.2132307495,0.2850745643,0.2887429753,5.7652073051,5.4443120217,10.2334921205,5.6330064049,5.3184973119,9.6425238583,5.6330064049,5.3184973119,9.6425238583,5.4468186671,4.8912222066,8.8855972632,5.4468186671,4.8912222066,8.8855972632,1141.4452322892,2784.677012171,0.0867527617,0.0059040999
