TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
17600667,-0.9935913,6.9312134,7.0940094,-0.9935913,6.9312134,7.0940094,-0.9935913,6.9312134,7.0940094,-0.9935913,6.9312134,7.0940094,-0.9935913,6.9312134,7.0940094,-0.9935913,6.9312134,7.0940094,132,290,0,0,0.875,0.027450982,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2
17600787,-1.2904663,7.151474,7.7739716,5.911255,-5.2871704,-11.073303,5.911255,-5.2871704,-11.073303,5.911255,-5.2871704,-11.073303,5.911255,-5.2871704,-11.073303,5.911255,-5.2871704,-11.073303,690.1903,221.00903,9604.503,-865.3245,0.875,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2
17600837,-0.05505371,6.5672913,6.73967,-0.05505371,6.5672913,6.73967,-0.05505371,6.5672913,6.73967,-0.05505371,6.5672913,6.73967,-0.05505371,6.5672913,6.73967,-0.05505371,6.5672913,6.73967,1120.4326,170.06189,7488.6636,-909.7708,0.875,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2
17601071,-0.56741333,6.634323,6.8306427,-0.56741333,6.634323,6.8306427,-0.56741333,6.634323,6.8306427,-0.56741333,6.634323,6.8306427,-0.56741333,6.634323,6.8306427,-0.56741333,6.634323,6.8306427,718.71295,680.5702,-7875.5044,6623.7544,0.875,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2
17601154,-0.5626373,6.6678467,7.941559,5.3894043,-4.76532,-11.239624,5.3894043,-4.76532,-11.239624,5.3894043,-4.76532,-11.239624,5.3894043,-4.76532,-11.239624,5.3894043,-4.76532,-11.239624,297.3629,1065.5127,-2148.5518,2401.567,0.875,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",2
,,,,,,,,,,,,,,,,,,,,,,,,,,
17601310,-0.56741333,6.859375,7.108383,-0.56741333,6.859375,7.108383,0.17044067,0.020217896,0.039398193,0.17044067,0.020217896,0.039398193,0.17044067,0.020217896,0.039398193,0.17044067,0.020217896,0.039398193,142,1254.5,0,0,0.32500002,0.003921569,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",3
17601598,-1.1515961,6.8641663,7.127533,-1.1515961,6.8641663,7.127533,-1.1515961,6.8641663,7.127533,0.3746338,0.05921936,0.01133728,0.3746338,0.05921936,0.01133728,0.3746338,0.05921936,0.01133728,169,279,0,0,0.925,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",3
17601598,-1.1515961,6.8641663,7.127533,-1.1515961,6.8641663,7.127533,-1.1515961,6.8641663,7.127533,0.3746338,0.05921936,0.01133728,0.3746338,0.05921936,0.01133728,0.3746338,0.05921936,0.01133728,169,279,0,0,0.925,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",3
17601738,-1.2282104,6.8928986,8.070847,3.9962769,-5.4611206,-10.905457,3.9962769,-5.4611206,-10.905457,3.9962769,-5.4611206,-10.905457,3.9962769,-5.4611206,-10.905457,3.9962769,-5.4611206,-10.905457,576.10724,299.58862,7015.42,-259.97214,0.925,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",3
17601805,-0.4812317,6.624756,6.3948975,-0.4812317,6.624756,6.3948975,-0.4812317,6.624756,6.3948975,0.36930847,0.0663147,0.022857666,0.36930847,0.0663147,0.022857666,0.36930847,0.0663147,0.022857666,1024.3706,258.6358,4209.878,-346.23703,0.65000004,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",3
17602022,-0.56741333,6.7348785,7.515396,-0.56741333,6.7348785,7.515396,-0.56741333,6.7348785,7.515396,-0.56741333,6.7348785,7.515396,-0.56741333,6.7348785,7.515396,-0.56741333,6.7348785,7.515396,760.805,654.5885,-8086,7947.7627,0.65000004,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",3
17602106,-0.7110748,6.6007996,7.3238525,-0.7110748,6.6007996,7.3238525,-0.11608887,-0.07563782,0.06283569,-0.11608887,-0.07563782,0.06283569,-0.11608887,-0.07563782,0.06283569,-0.11608887,-0.07563782,0.06283569,319.6555,1047.7762,-3546.448,3507.0735,0.65000004,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",3
,,,,,,,,,,,,,,,,,,,,,,,,,,
17602226,-0.70628357,6.993454,7.5776367,-0.70628357,6.993454,7.5776367,-0.70628357,6.993454,7.5776367,-0.70628357,6.993454,7.5776367,-0.70628357,6.993454,7.5776367,-0.70628357,6.993454,7.5776367,177,1226,0,0,0.275,0.007843138,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",4
17602556,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,168,292,0,0,0.925,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",4
17602556,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,-0.9361267,6.8210754,7.405258,168,292,0,0,0.925,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",4
