 Counter,Name,Pattern, TYPE_ACC0_Mean, TYPE_ACC1_Mean, TYPE_ACC2_Mean, TYPE_MAG0_Mean, TYPE_MAG1_Mean, TYPE_MAG2_Mean, TYPE_GYRO0_Mean, TYPE_GYRO1_Mean, TYPE_GYRO2_Mean, TYPE_ROTATION0_Mean, TYPE_ROTATION1_Mean, TYPE_ROTATION2_Mean, TYPE_LINEAR0_Mean, TYPE_LINEAR1_Mean, TYPE_LINEAR2_Mean, TYPE_GRAVITY0_Mean, TYPE_GRAVITY1_Mean, TYPE_GRAVITY2_Mean, velocity_x_Mean, velocity_y_Mean, pressure_Mean, size_Mean, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,Matt,C,-9.45465083,47.7929989,48.7626495,-0.79429623,36.4020993,29.697159,4.25169371,17.33145137,7.779785421,4.25169371,17.33145137,7.779785421,4.25169371,17.33145137,7.779785421,4.25169371,17.33145137,7.779785421,-1836.8545,-3510.82198,5.0125002,0.113725496,0.621625681,0.364360839,0.55518288,3.328847448,4.333049204,7.068392158,3.129648118,4.576966955,6.55168398,3.129648118,4.576966955,6.55168398,3.129648118,4.576966955,6.55168398,3.129648118,4.576966955,6.55168398,4510.106141,1079.857008,0.207378785,0.003528374
1,Matt,C,-10.34289547,56.4743806,56.3977511,-1.76393127,44.4291231,37.4449311,-1.76393127,44.4291231,37.4449311,2.16642757,30.07075512,22.79936209,2.16642757,30.07075512,22.79936209,2.16642757,30.07075512,22.79936209,-917.81026,-3257.610555,5.46250002,0.149019617,0.32394552,0.242635817,0.419645147,3.05709595,4.246671307,6.782641419,3.05709595,4.246671307,6.782641419,2.937297065,4.694939977,6.790716478,2.937297065,4.694939977,6.790716478,2.937297065,4.694939977,6.790716478,3579.233347,1118.189681,0.119324262,0.00405921
2,Matt,C,-12.11938467,57.1351776,54.7696996,8.78872633,34.828659,15.2284708,10.85316415,26.87786856,8.952851274,12.77152965,20.03355396,2.201706724,14.34524485,12.86129754,-4.298232236,14.34524485,12.86129754,-4.298232236,-3806.6433,-3370.13522,5.5375,0.133333338,0.431871677,0.301838339,0.523338367,4.922496784,5.098971505,8.843318596,4.775331637,5.165344725,8.666511496,4.65438696,5.047047799,8.343451621,4.539614454,4.759140302,7.988359022,4.539614454,4.759140302,7.988359022,3608.17881,1185.376851,0.013258252,0.001815334
3,Matt,C,-10.6780701,57.1638943,55.0905302,18.3111877,20.0451053,-1.1051328,18.3111877,20.0451053,-1.1051328,19.94685357,12.56279026,-7.02702304,11.3892362,17.8347627,4.57447844,11.3892362,17.8347627,4.57447844,-2492.32346,-2936.15763,5.2625,0.13725491,0.187764908,0.270373674,0.540840325,5.067156439,6.508842644,9.849887466,5.067156439,6.508842644,9.849887466,4.934236863,6.187882525,9.523578004,4.331767336,5.629990254,8.423952623,4.331767336,5.629990254,8.423952623,3145.598047,986.281096,0.119324269,0.005107727
4,Matt,C,-11.5543364,57.0106813,54.0083319,-11.5543364,57.0106813,54.0083319,-8.603973297,42.87280287,40.30812133,-4.858596757,29.06178297,27.11375481,-3.138824447,21.92318738,20.61366321,-3.138824447,21.92318738,20.61366321,-2971.2584,-1645.636457,5.05,0.137254912,0.193448479,0.220472245,0.617400239,0.193448479,0.220472245,0.617400239,0.739281141,3.276045018,3.182950724,0.880181883,3.744449614,3.505549327,0.81993128,3.657205848,3.610755592,0.81993128,3.657205848,3.610755592,3290.490672,1016.691084,0.166100228,0.005107727
5,Matt,C,-10.74032587,55.511917,49.2630466,-10.74032587,55.511917,49.2630466,-9.68171687,48.71141038,42.52922088,-7.7915496,41.70710745,35.85385158,-6.3716582,34.64407338,29.20050077,-6.3716582,34.64407338,29.20050077,987.48957,-2398.945682,5.33750002,0.145098048,0.416864201,0.235328729,1.238556959,0.416864201,0.235328729,1.238556959,0.654286557,2.437162285,2.475641881,0.827009846,3.139245453,2.910743442,0.929454748,3.579459486,3.104952922,0.929454748,3.579459486,3.104952922,3616.415739,929.1888667,0.163518436,0.006266627
6,Matt,C,-8.45147697,54.6643674,55.9332888,18.6847075,18.8655242,-0.8044736,20.08666973,11.63403288,-8.160247687,20.08666973,11.63403288,-8.160247687,20.08666973,11.63403288,-8.160247687,20.08666973,11.63403288,-8.160247687,-2784.52087,-1917.22635,4.5875002,0.117647065,0.293758836,0.196733449,0.435032998,4.8623553,6.28513719,9.796349359,4.722036565,6.072332822,9.331022921,4.722036565,6.072332822,9.331022921,4.722036565,6.072332822,9.331022921,4.722036565,6.072332822,9.331022921,3988.168218,1232.045327,0.194389805,0.004059209
7,Matt,C,-9.54801932,54.659561,55.9572451,7.42959595,29.750397,18.3963771,7.42959595,29.750397,18.3963771,10.97459415,16.29556303,5.33471641,12.72010802,9.19273396,-1.19770856,12.72010802,9.19273396,-1.19770856,177.2652,-3335.522037,4.6125,0.109803929,0.518167553,0.36937408,0.618035787,3.845688374,5.675601955,8.891419031,3.845688374,5.675601955,8.891419031,3.603270374,5.434492944,8.430295845,3.474205933,5.071309247,8.154175621,3.474205933,5.071309247,8.154175621,3009.301125,1170.106699,0.223750249,0.006952198
8,Matt,C,-10.95579525,56.5557705,55.061798,17.36172505,17.4388272,-1.998261,0.689025787,29.51042166,22.42633013,0.689025787,29.51042166,22.42633013,0.689025787,29.51042166,22.42633013,0.689025787,29.51042166,22.42633013,1113.805,-4459.96257,4.93750002,0.125490205,0.351985493,0.291042804,0.387971136,4.66261333,6.603406728,9.89202674,2.823347149,4.682389772,6.786163426,2.823347149,4.682389772,6.786163426,2.823347149,4.682389772,6.786163426,2.823347149,4.682389772,6.786163426,3549.544763,1225.836256,0.17138322,0.004687171
9,Matt,C,-12.0667114,55.0043031,55.6699067,-1.2663121,42.4244844,36.960022,0.84812883,35.0042421,30.68441771,0.84812883,35.0042421,30.68441771,0.84812883,35.0042421,30.68441771,0.84812883,35.0042421,30.68441771,-1247.2659,-3019.789507,5.6875003,0.133333342,0.371339391,0.201055614,0.535552786,3.806562914,4.494258995,6.69944478,3.710255246,4.826920816,6.828105326,3.710255246,4.826920816,6.828105326,3.710255246,4.826920816,6.828105326,3.710255246,4.826920816,6.828105326,2940.012723,1079.581735,0.18119612,0.006545279
