TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,
19154825,-1.4772186,5.403702,8.04451,-1.4772186,5.403702,8.04451,-1.4772186,5.403702,8.04451,-1.4772186,5.403702,8.04451,-1.4772186,5.403702,8.04451,-1.4772186,5.403702,8.04451,755,178,0,0,0.52500004,0.007843138," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",35
19155111,-1.529892,5.5569305,8.082825,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,356,687,0,0,0.45000002,0.011764707," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",35
19155111,-1.529892,5.5569305,8.082825,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,356,687,0,0,0.45000002,0.011764707," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",35
19155291,-1.5442505,5.49469,8.207321,-1.5442505,5.49469,8.207321,0.08628845,0.04685974,-0.0234375,0.17999268,0.23869324,0.5807953,0.17999268,0.23869324,0.5807953,0.17999268,0.23869324,0.5807953,734.5869,1026.8411,2125.6038,1471.9236,0.45000002,0.011764707," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",35
19155474,-1.4053955,5.116394,8.508987,-1.4053955,5.116394,8.508987,-0.04472351,-0.024490356,0.005325317,-0.04472351,-0.024490356,0.005325317,-0.04472351,-0.024490356,0.005325317,-0.04472351,-0.024490356,0.005325317,1101.1532,807.1051,1179.4298,-4319.687,0.45000002,0.015686275," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",35
19155641,-1.8315582,5.6191864,7.7859344,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,876.44556,286.87128,-2297.901,-1958.2556,0.45000002,0.019607844," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19155780,-1.1803284,5.2839966,8.662216,-1.1803284,5.2839966,8.662216,-1.1803284,5.2839966,8.662216,-1.1803284,5.2839966,8.662216,0.30241394,-0.12164307,0.6156006,0.30241394,-0.12164307,0.6156006,745.5,207,0,0,0.45000002,0.003921569," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",36
19156079,-1.6017151,5.5569305,7.805084,-1.6017151,5.5569305,7.805084,0.055404663,-0.00958252,0.026611328,0.055404663,-0.00958252,0.026611328,0.055404663,-0.00958252,0.026611328,0.055404663,-0.00958252,0.026611328,306,687,0,0,0.4,0.015686275," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",36
19156079,-1.6017151,5.5569305,7.805084,-1.6017151,5.5569305,7.805084,0.055404663,-0.00958252,0.026611328,0.055404663,-0.00958252,0.026611328,0.055404663,-0.00958252,0.026611328,0.055404663,-0.00958252,0.026611328,306,687,0,0,0.4,0.015686275," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",36
19156259,-1.6208649,5.5281982,8.078033,-1.6208649,5.5281982,8.078033,0.12677002,0.04260254,-0.040481567,0.12677002,0.04260254,-0.040481567,0.12677002,0.04260254,-0.040481567,0.12677002,0.04260254,-0.040481567,668.8669,1068.3446,3256.7026,1718.3243,0.4,0.015686275," ""[Point(0", 1), Point(1, 2), Point(2, 1), Point(1," 0)]""",36
