@relation mattPattern3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {C}

@data
-1.012741,6.79953,7.170624,-1.012741,6.79953,7.170624,-1.012741,6.79953,7.170624,-1.012741,6.79953,7.170624,-1.012741,6.79953,7.170624,-1.012741,6.79953,7.170624,356.0283,239.16193,-4702.475,783.50037,0.725,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1,Matt,C
-0.96965,6.909653,7.328644,-0.96965,6.909653,7.328644,-0.96965,6.909653,7.328644,-0.96965,6.909653,7.328644,-0.96965,6.909653,7.328644,-0.96965,6.909653,7.328644,189,267,0,0,0.725,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-1.410172,7.259216,7.362167,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,243,744,0,0,0.6875,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-1.410172,7.259216,7.362167,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,9.043884,-3.894043,-12.408447,243,744,0,0,0.6875,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-1.5634,6.971909,6.921631,-1.5634,6.971909,6.921631,-1.5634,6.971909,6.921631,0.354965,0.127594,0.170486,0.354965,0.127594,0.170486,0.354965,0.127594,0.170486,610.2843,743.0325,4955.2905,-222.14064,0.6875,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-1.065414,6.670242,7.050919,-1.065414,6.670242,7.050919,-1.065414,6.670242,7.050919,-1.065414,6.670242,7.050919,-1.065414,6.670242,7.050919,-1.065414,6.670242,7.050919,1039.2545,716.7228,3520.616,-393.32504,0.6875,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-1.438904,7.019791,6.241669,-1.438904,7.019791,6.241669,-1.438904,7.019791,6.241669,-1.438904,7.019791,6.241669,0.134811,-0.152466,-0.25827,0.134811,-0.152466,-0.25827,1107.8878,360.90704,-2240.4521,-2971.9307,0.6875,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-2.03746,7.513001,6.126755,-2.03746,7.513001,6.126755,-2.03746,7.513001,6.126755,-2.03746,7.513001,6.126755,-2.03746,7.513001,6.126755,-2.03746,7.513001,6.126755,836.1394,210.78845,-5546.8184,-939.11224,0.6875,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-2.224213,7.53215,6.375748,-2.224213,7.53215,6.375748,-0.159775,-0.41864,0.100128,-0.159775,-0.41864,0.100128,-0.159775,-0.41864,0.100128,-0.159775,-0.41864,0.100128,377.06168,234.52698,-4495.2793,1156.3734,0.6875,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2,Matt,C
-1.271317,7.685379,6.189011,-1.271317,7.685379,6.189011,-1.271317,7.685379,6.189011,0.364349,0.203064,0.26712,0.364349,0.203064,0.26712,0.364349,0.203064,0.26712,204,331,0,0,0.3625,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
