@relation jamesPattern1_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {A}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute ' velocity_x_MEAN' numeric
@attribute ' velocity_y_MEAN' numeric
@attribute pressure_MEAN numeric
@attribute size_MEAN numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
10,James,A,-1.397405,5.410088,8.215294,32.275645,-8.912659,-22.67863,32.275645,-8.912659,-22.67863,26.621412,-7.295736,-18.72847,26.621412,-7.295736,-18.72847,26.621412,-7.295736,-18.72847,410.477333,-483.909567,0.4375,0.00915,0.289859,0.120558,0.137741,1.115682,0.741417,0.345994,1.115682,0.741417,0.345994,12.971663,3.754828,9.475667,12.971663,3.754828,9.475667,12.971663,3.754828,9.475667,1807.307454,1666.067142,0.140979,0.004749
11,James,A,-1.469236,5.477928,8.054085,4.07121,3.058843,2.88278,4.07121,3.058843,2.88278,4.07121,3.058843,2.88278,4.07121,3.058843,2.88278,4.07121,3.058843,2.88278,225.127783,-744.095633,0.447917,0.010458,0.208411,0.106333,0.299233,13.69042,5.965057,12.566984,13.69042,5.965057,12.566984,13.69042,5.965057,12.566984,13.69042,5.965057,12.566984,13.69042,5.965057,12.566984,1615.744529,1524.803437,0.143705,0.005358
12,James,A,-1.576172,5.608808,8.149857,-1.576172,5.608808,8.149857,-1.576172,5.608808,8.149857,-0.473328,2.024854,3.048286,-0.473328,2.024854,3.048286,-0.473328,2.024854,3.048286,-15.363567,-606.72985,0.48125,0.011111,0.211095,0.125904,0.173971,0.211095,0.125904,0.173971,0.211095,0.125904,0.173971,1.021837,2.755444,3.803374,1.021837,2.755444,3.803374,1.021837,2.755444,3.803374,1931.453378,1786.15345,0.107165,0.003856
13,James,A,-1.511533,5.539375,8.200933,15.623708,-1.901161,-7.102979,15.856214,-2.804805,-8.476895,15.856214,-2.804805,-8.476895,15.856214,-2.804805,-8.476895,15.856214,-2.804805,-8.476895,148.358983,-574.8501,0.472917,0.012418,0.257733,0.168551,0.159814,18.719971,8.030637,16.707349,18.477396,7.323335,15.486102,18.477396,7.323335,15.486102,18.477396,7.323335,15.486102,18.477396,7.323335,15.486102,1447.007513,1609.059831,0.025516,0.005212
14,James,A,-1.470034,5.485906,8.13469,4.034775,3.028788,3.042221,4.325745,2.10156,1.697917,-0.921761,3.719086,5.534999,-0.921761,3.719086,5.534999,-0.921761,3.719086,5.534999,19.209983,-615.523833,0.502083,0.013072,0.19556,0.144937,0.148965,13.538067,6.120825,12.479135,13.404748,6.09127,12.266362,0.757959,2.811695,4.076652,0.757959,2.811695,4.076652,0.757959,2.811695,4.076652,1387.24126,1769.726808,0.142174,0.004749
15,James,A,-1.347931,5.525012,8.161024,4.418864,3.17189,3.113876,4.834719,1.321083,0.330478,4.884532,1.364293,0.433993,4.884532,1.364293,0.433993,4.884532,1.364293,0.433993,233.041334,-659.954083,0.466667,0.011765,0.194148,0.166499,0.14829,14.2019,5.850929,12.350526,14.012687,5.649333,11.674194,13.992084,5.637992,11.673091,13.992084,5.637992,11.673091,13.992084,5.637992,11.673091,1659.9975,2043.818425,0.051031,0.00248
16,James,A,-1.444491,5.48511,8.27036,9.939364,0.778069,-2.197581,10.439771,-1.043493,-5.050138,10.452029,-0.99025,-4.954821,10.452029,-0.99025,-4.954821,10.452029,-0.99025,-4.954821,274.6006,-601.369517,0.383333,0.009804,0.109335,0.172144,0.32256,17.639844,7.398563,16.32263,17.264746,6.516841,14.565972,17.255966,6.527574,14.607582,17.255966,6.527574,14.607582,17.255966,6.527574,14.607582,1863.326701,2137.803984,0.051031,0.004113
17,James,A,-1.549039,5.50027,8.15225,-1.549039,5.50027,8.15225,-0.952161,3.571503,5.527153,-0.952161,3.571503,5.527153,-0.47407,1.784086,2.83238,-0.47407,1.784086,2.83238,78.06395,-423.058717,0.435417,0.013725,0.178983,0.182998,0.193293,0.178983,0.182998,0.193293,0.78275,2.80703,4.24726,0.78275,2.80703,4.24726,0.682016,2.796647,4.166619,0.682016,2.796647,4.166619,1752.622891,2251.631227,0.035722,0.003281
18,James,A,-1.432521,5.352628,8.139481,-1.432521,5.352628,8.139481,-0.497688,1.877337,2.763959,-0.497688,1.877337,2.763959,-0.497688,1.877337,2.763959,-0.497688,1.877337,2.763959,330.858417,-867.53755,0.410417,0.010458,0.171411,0.198026,0.214991,0.171411,0.198026,0.214991,0.82742,2.850343,4.294319,0.82742,2.850343,4.294319,0.82742,2.850343,4.294319,0.82742,2.850343,4.294319,1595.694217,2317.240871,0.106776,0.005904
19,James,A,-1.441299,5.446007,8.300687,9.524702,0.767418,-1.75547,9.524702,0.767418,-1.75547,10.140358,-1.01841,-4.316617,10.140358,-1.01841,-4.316617,10.140358,-1.01841,-4.316617,295.675817,-562.31325,0.491667,0.013072,0.245298,0.18063,0.147612,17.017972,7.256699,15.627274,17.017972,7.256699,15.627274,16.552612,6.294578,14.083076,16.552612,6.294578,14.083076,16.552612,6.294578,14.083076,1721.926633,2103.810438,0.08165,0.002025
