@relation jamesPattern2_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {B}
@attribute ' TYPE_ACC0_Mean' numeric
@attribute ' TYPE_ACC1_Mean' numeric
@attribute ' TYPE_ACC2_Mean' numeric
@attribute ' TYPE_MAG0_Mean' numeric
@attribute ' TYPE_MAG1_Mean' numeric
@attribute ' TYPE_MAG2_Mean' numeric
@attribute ' TYPE_GYRO0_Mean' numeric
@attribute ' TYPE_GYRO1_Mean' numeric
@attribute ' TYPE_GYRO2_Mean' numeric
@attribute ' TYPE_ROTATION0_Mean' numeric
@attribute ' TYPE_ROTATION1_Mean' numeric
@attribute ' TYPE_ROTATION2_Mean' numeric
@attribute ' TYPE_LINEAR0_Mean' numeric
@attribute ' TYPE_LINEAR1_Mean' numeric
@attribute ' TYPE_LINEAR2_Mean' numeric
@attribute ' TYPE_GRAVITY0_Mean' numeric
@attribute ' TYPE_GRAVITY1_Mean' numeric
@attribute ' TYPE_GRAVITY2_Mean' numeric
@attribute ' velocity_x_Mean' numeric
@attribute ' velocity_y_Mean' numeric
@attribute ' pressure_Mean' numeric
@attribute ' size_Mean' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
10,James,B,-2.683838,24.605148,63.877244,36.609604,46.01677,-24.24521,37.147201,42.169754,-32.977113,37.147201,42.169754,-32.977113,37.881912,34.95665,-51.200869,37.881912,34.95665,-51.200869,4466.5746,5739.3823,5.85,0.160784,0.118099,0.190333,0.30207,9.67988,5.174322,21.350806,9.628213,5.698774,20.76513,9.628213,5.698774,20.76513,9.556797,6.4356,19.191057,9.556797,6.4356,19.191057,3939.968084,1935.124998,0.203156,0.006952
11,James,B,-2.669495,25.620285,64.092743,16.649338,34.424637,19.696715,16.649338,34.424637,19.696715,17.57135,26.684326,1.754164,17.57135,26.684326,1.754164,17.57135,26.684326,1.754164,4992.9952,6786.442135,5.825,0.133333,0.200685,0.243854,0.250027,7.315434,3.258114,16.655135,7.315434,3.258114,16.655135,7.262839,4.088055,16.058238,7.262839,4.088055,16.058238,7.262839,4.088055,16.058238,4942.971022,2322.86457,0.191738,0.005741
12,James,B,-2.03746,25.629852,64.552412,36.172394,44.275802,-23.942766,17.301911,32.08847,10.603925,18.906525,24.940613,-7.28322,18.906525,24.940613,-7.28322,18.906525,24.940613,-7.28322,2467.8075,7893.41507,5.4375,0.129412,0.405734,0.099735,0.152439,9.545717,4.5534,21.542256,7.431091,4.039228,16.591984,7.329088,4.642901,15.753824,7.329088,4.642901,15.753824,7.329088,4.642901,15.753824,4308.993302,2447.485939,0.319458,0.010791
13,James,B,-2.439636,25.452713,64.193284,16.915848,35.018249,20.121843,17.417832,31.791107,10.87224,17.417832,31.791107,10.87224,17.742386,28.226593,1.742265,17.742386,28.226593,1.742265,1427.0816,7454.8275,5.9625,0.168627,0.219684,0.24664,0.188689,7.451351,3.680568,16.533772,7.421115,4.120373,16.308637,7.421115,4.120373,16.308637,7.403815,4.471968,15.97438,7.403815,4.471968,15.97438,4171.243464,2454.892298,0.061419,0.004192
14,James,B,-2.803558,25.807037,63.944305,61.505905,51.816207,-64.702791,61.971664,47.958114,-73.895433,19.176559,24.581588,-5.70717,19.176559,24.581588,-5.70717,19.176559,24.581588,-5.70717,1303.1226,7840.77605,4.45,0.129412,0.054624,0.140363,0.172443,11.484339,4.72329,22.904092,11.422652,5.383576,21.910209,7.618531,4.817954,15.128206,7.618531,4.817954,15.128206,7.618531,4.817954,15.128206,3407.528516,2152.775729,0.154014,0.008073
15,James,B,-2.827515,25.443131,63.340942,35.91858,43.763564,-23.399704,35.91858,43.763564,-23.399704,37.18483,36.546996,-41.40773,37.18483,36.546996,-41.40773,37.18483,36.546996,-41.40773,2503.3868,6750.91898,5.0625,0.121569,0.104962,0.052446,0.239786,9.514957,4.454839,21.195712,9.514957,4.454839,21.195712,9.395157,5.396394,19.813514,9.395157,5.396394,19.813514,9.395157,5.396394,19.813514,3555.90037,2329.821469,0.205957,0.006346
16,James,B,-2.980743,25.323425,64.638612,-2.980743,25.323425,64.638612,-2.980743,25.323425,64.638612,-2.980743,25.323425,64.638612,-2.980743,25.323425,64.638612,-2.980743,25.323425,64.638612,4085.4858,6768.9111,4.6375,0.121569,0.109681,0.155384,0.240005,0.109681,0.155384,0.240005,0.109681,0.155384,0.240005,0.109681,0.155384,0.240005,0.109681,0.155384,0.240005,0.109681,0.155384,0.240005,3845.715783,2208.36335,0.22947,0.007108
17,James,B,-2.770035,25.443115,64.269883,17.771103,33.696884,20.644013,17.771103,33.696884,20.644013,17.771103,33.696884,20.644013,17.771103,33.696884,20.644013,17.771103,33.696884,20.644013,3406.3833,5792.640863,4.8875,0.14902,0.261666,0.11525,0.295371,7.935551,3.067328,16.494688,7.935551,3.067328,16.494688,7.935551,3.067328,16.494688,7.935551,3.067328,16.494688,7.935551,3.067328,16.494688,3346.827415,1821.14456,0.10394,0.006738
18,James,B,-3.062103,26.103943,63.685698,40.110871,41.274018,-16.055602,-2.221893,18.548492,46.218688,-2.221893,18.548492,46.218688,-2.221893,18.548492,46.218688,-2.221893,18.548492,46.218688,3333.4161,7309.31074,5.8375,0.14902,0.106983,0.10717,0.308187,10.585412,3.773005,19.688176,0.273373,1.774125,4.498326,0.273373,1.774125,4.498326,0.273373,1.774125,4.498326,0.273373,1.774125,4.498326,4434.457492,2572.385678,0.130845,0.00499
19,James,B,-3.646316,25.687332,65.179703,38.139938,44.938186,-21.616668,38.331192,41.373168,-30.611984,38.331192,41.373168,-30.611984,39.768753,30.422241,-57.879409,39.768753,30.422241,-57.879409,1010.2693,8899.00913,5.425,0.164706,0.187924,0.243621,0.26148,10.128259,4.554083,21.029334,10.110668,5.100592,20.436262,10.110668,5.100592,20.436262,9.969881,6.092854,17.79942,9.969881,6.092854,17.79942,4255.567456,2567.242877,0.193649,0.006792
