@relation mattPattern3_Mean_SD

@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {C}
@attribute ' TYPE_ACC0_Mean' numeric
@attribute ' TYPE_ACC1_Mean' numeric
@attribute ' TYPE_ACC2_Mean' numeric
@attribute ' TYPE_MAG0_Mean' numeric
@attribute ' TYPE_MAG1_Mean' numeric
@attribute ' TYPE_MAG2_Mean' numeric
@attribute ' TYPE_GYRO0_Mean' numeric
@attribute ' TYPE_GYRO1_Mean' numeric
@attribute ' TYPE_GYRO2_Mean' numeric
@attribute ' TYPE_ROTATION0_Mean' numeric
@attribute ' TYPE_ROTATION1_Mean' numeric
@attribute ' TYPE_ROTATION2_Mean' numeric
@attribute ' TYPE_LINEAR0_Mean' numeric
@attribute ' TYPE_LINEAR1_Mean' numeric
@attribute ' TYPE_LINEAR2_Mean' numeric
@attribute ' TYPE_GRAVITY0_Mean' numeric
@attribute ' TYPE_GRAVITY1_Mean' numeric
@attribute ' TYPE_GRAVITY2_Mean' numeric
@attribute ' velocity_x_Mean' numeric
@attribute ' velocity_y_Mean' numeric
@attribute ' pressure_Mean' numeric
@attribute ' size_Mean' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
10,Matt,C,-13.723511,56.68985,53.548676,4.874054,32.640777,15.583039,4.874054,32.640777,15.583039,7.215088,25.779938,8.300232,7.215088,25.779938,8.300232,7.215088,25.779938,8.300232,-489.8097,-2921.067572,5.45,0.141176,0.551195,0.383777,0.526681,4.273926,5.471941,8.56498,4.273926,5.471941,8.56498,4.146565,5.467591,8.254385,4.146565,5.467591,8.254385,4.146565,5.467591,8.254385,3093.366093,971.7882,0.159099,0.006629
11,Matt,C,-14.489655,57.178253,52.509583,-3.07164,44.175492,34.606644,-3.07164,44.175492,34.606644,-1.250244,37.543229,28.25296,2.463165,23.278305,15.314728,2.463165,23.278305,15.314728,-736.5521,-4063.70907,5.0625,0.12549,0.452571,0.350051,0.50213,4.115178,4.661561,6.376954,4.115178,4.661561,6.376954,4.094264,4.964298,6.428823,3.906008,4.890295,6.28354,3.906008,4.890295,6.28354,3249.182617,1052.543558,0.183947,0.005929
12,Matt,C,-12.823288,55.44487,54.707443,-12.823288,55.44487,54.707443,-12.823288,55.44487,54.707443,-8.422577,35.31044,35.043823,-8.422577,35.31044,35.043823,-8.422577,35.31044,35.043823,-1786.7061,-3382.21447,5.0875,0.117647,0.537219,0.046982,0.34389,0.537219,0.046982,0.34389,0.537219,0.046982,0.34389,1.194124,3.48308,3.331767,1.194124,3.48308,3.331767,1.194124,3.48308,3.331767,3291.67558,1159.004941,0.187968,0.005835
13,Matt,C,-2.719772,57.173477,57.355438,0.855423,33.304886,20.994628,0.855423,33.304886,20.994628,1.521652,26.298508,13.741409,1.521652,26.298508,13.741409,1.521652,26.298508,13.741409,-5052.8456,-501.42686,4.6625,0.129412,0.31892,0.250477,0.285953,1.028946,5.730074,8.562408,1.028946,5.730074,8.562408,1.016487,5.737232,8.340056,1.016487,5.737232,8.340056,1.016487,5.737232,8.340056,3368.899172,777.849079,0.048614,0.003273
14,Matt,C,-5.094788,55.95723,56.388183,0.153564,42.992768,37.538162,0.644653,36.096421,30.848068,0.644653,36.096421,30.848068,0.644653,36.096421,30.848068,0.644653,36.096421,30.848068,1199.20256,-2970.670323,4.8375,0.121569,0.304498,0.152687,0.263444,1.842783,4.591484,6.645482,1.822502,4.896194,6.764704,1.822502,4.896194,6.764704,1.822502,4.896194,6.764704,1.822502,4.896194,6.764704,3499.463138,963.447763,0.169418,0.002513
15,Matt,C,-4.922424,57.039398,53.601334,0.779251,39.699066,35.044678,1.480179,32.566574,28.339096,1.480179,32.566574,28.339096,4.15625,10.61972,8.938904,4.15625,10.61972,8.938904,-1929.51555,-1854.63527,5.325,0.121569,0.34589,0.188171,0.430002,1.724588,6.042043,6.595565,1.692654,6.185694,6.677125,1.692654,6.185694,6.677125,1.590289,5.788383,6.33258,1.590289,5.788383,6.33258,4049.163271,1520.046384,0.097227,0.002513
16,Matt,C,-7.838531,58.313111,52.988388,6.973328,27.398713,17.606903,6.973328,27.398713,17.606903,10.144516,12.932145,5.140075,12.159805,-1.605407,-7.862961,12.159805,-1.605407,-7.862961,-2275.8422,-2675.441709,4.3875,0.098039,0.388163,0.28033,0.16256,3.504229,7.303076,8.145663,3.504229,7.303076,8.145663,3.304873,6.927669,7.692963,3.178929,6.034583,6.820588,3.178929,6.034583,6.820588,3579.04,1414.161103,0.226723,0.004888
17,Matt,C,-7.010162,59.457565,53.759369,0.137405,42.39801,35.598877,0.137405,42.39801,35.598877,2.902679,27.770675,22.720413,2.902679,27.770675,22.720413,2.902679,27.770675,22.720413,-2581.977,-2230.50304,5.1125,0.117647,0.533798,0.254442,0.214564,2.124783,5.826569,6.54474,2.124783,5.826569,6.54474,2.019988,6.014724,6.574405,2.019988,6.014724,6.574405,2.019988,6.014724,6.574405,3283.845406,994.581011,0.153303,0.005026
18,Matt,C,-5.980682,58.78717,53.606125,-5.980682,58.78717,53.606125,-4.210434,36.854858,33.84108,-4.210434,36.854858,33.84108,-3.158325,29.455871,27.491669,-3.158325,29.455871,27.491669,-2303.1197,-3185.81499,4.6625,0.117647,0.474721,0.231024,0.249253,0.474721,0.231024,0.249253,0.61362,3.789069,3.47937,0.61362,3.789069,3.47937,0.447506,3.830395,3.634497,0.447506,3.830395,3.634497,4143.065112,1135.71229,0.183096,0.003476
19,Matt,C,-6.737228,58.715317,53.54866,1.939072,43.424088,36.047179,1.939072,43.424088,36.047179,5.353378,21.98996,16.697128,5.353378,21.98996,16.697128,5.353378,21.98996,16.697128,529.69947,-1459.007586,5.2625,0.137255,0.19018,0.151375,0.254809,2.925768,5.386584,6.232214,2.925768,5.386584,6.232214,2.8109,5.565577,6.114973,2.8109,5.565577,6.114973,2.8109,5.565577,6.114973,3883.52004,891.3924,0.120627,0.004159
20,Matt,C,-9.41394,59.390503,51.164047,-3.790527,45.851517,32.513672,-2.955948,38.94606,26.00528,-1.815689,31.391754,20.113602,-6.43161,37.662994,32.257599,-6.43161,37.662994,32.257599,6482.76735,-5183.147725,5.6125,0.145098,0.39473,0.345227,0.272939,2.122016,4.953733,6.728063,2.125969,5.31873,6.803677,2.133604,5.399619,6.754729,0.853352,3.922475,3.42071,0.853352,3.922475,3.42071,4158.887033,1283.882877,0.172357,0.006932
