@relation jamesPattern3_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {C}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute ' velocity_x_MEAN' numeric
@attribute ' velocity_y_MEAN' numeric
@attribute ' pressure_MEAN' numeric
@attribute ' size_MEAN' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
10,James,C,-9.466614,51.877488,60.185379,20.2612,32.106034,30.486771,20.2612,32.106034,30.486771,23.097946,19.825882,17.583756,25.477005,7.076477,2.871536,25.477005,7.076477,2.871536,-1788.9433,-5350.92984,4.6,0.133333,0.166157,0.16209,0.407147,10.577492,6.923626,10.270591,10.577492,6.923626,10.270591,10.454798,6.899099,10.124768,10.331824,6.48766,9.548415,10.331824,6.48766,9.548415,4819.628102,1480.40534,0.035355,0.002773
11,James,C,-10.505691,51.944534,60.759964,19.172669,34.882751,32.11679,20.341385,28.286331,25.007369,20.738495,28.426223,25.562102,24.471497,9.052521,3.746749,24.471497,9.052521,3.746749,-2808.8191,-5845.53024,4.5,0.133333,0.166205,0.216838,0.377004,10.562173,5.868498,9.878615,10.511131,5.951565,9.877368,10.497434,5.94032,9.85443,10.321278,5.543163,9.124834,10.321278,5.543163,9.124834,4505.589395,1813.314104,0.106066,0.006545
12,James,C,-10.06517,51.331589,61.090378,82.239838,-1.604081,-27.874818,53.407654,4.209763,-13.904419,53.407654,4.209763,-13.904419,53.407654,4.209763,-13.904419,53.407654,4.209763,-13.904419,-3696.1797,-6279.8723,4.1875,0.137255,0.17066,0.273569,0.550843,15.942061,9.167785,15.277574,13.77436,7.649767,13.063021,13.77436,7.649767,13.063021,13.77436,7.649767,13.063021,13.77436,7.649767,13.063021,4523.371005,1540.630456,0.150659,0.004658
13,James,C,-10.989334,50.129746,60.870101,81.108414,-1.594635,-27.026567,81.108414,-1.594635,-27.026567,86.911988,-25.345871,-54.651765,88.356735,-31.463517,-62.178682,88.356735,-31.463517,-62.178682,-3275.6964,-5868.17597,5.075,0.152941,0.224443,0.214867,0.302628,15.768737,8.883909,14.995223,15.768737,8.883909,14.995223,15.179005,6.745626,12.361426,15.018127,5.797288,11.359271,15.018127,5.797288,11.359271,5197.072525,1645.05764,0.114905,0.005717
14,James,C,-10.59668,50.024384,62.579605,20.312119,33.669633,31.907486,20.312119,33.669633,31.907486,26.238617,10.156052,3.519134,-3.214233,20.316849,26.729126,-3.214233,20.316849,26.729126,-2398.0073,-4175.97654,4.8625,0.145098,0.174193,0.207953,0.503028,10.926641,5.66758,10.684707,10.926641,5.66758,10.684707,10.657756,5.381518,9.936812,0.850215,3.114025,3.798095,0.850215,3.114025,3.798095,3692.402549,1424.092303,0.119324,0.006267
15,James,C,-10.845673,51.17363,61.325027,-10.845673,51.17363,61.325027,-10.845673,51.17363,61.325027,-9.200745,45.43547,54.692611,-6.299881,32.856491,39.928024,-6.299881,32.856491,39.928024,1039.5684,-5147.60452,5.2,0.141176,0.210416,0.171752,0.535359,0.210416,0.171752,0.535359,0.210416,0.171752,0.535359,0.592683,2.187267,2.582402,0.736312,3.246432,3.89696,0.736312,3.246432,3.89696,4281.244983,1928.170038,0.091856,0.005135
16,James,C,-10.706833,50.005218,62.186951,-10.706833,50.005218,62.186951,-10.706833,50.005218,62.186951,-6.528702,32.929123,40.725388,-5.039368,26.705398,33.294678,-5.039368,26.705398,33.294678,-2702.5216,-4818.18876,4.8,0.121569,0.267451,0.312496,0.370179,0.267451,0.312496,0.370179,0.267451,0.312496,0.370179,0.880729,3.191911,3.764835,0.890514,3.275836,3.723489,0.890514,3.275836,3.723489,4946.169446,1795.27663,0.175255,0.00644
17,James,C,-11.56871,50.651673,61.593186,48.065721,15.015565,5.161209,49.455277,8.934098,-1.640732,-5.393417,26.654709,33.489792,-5.393417,26.654709,33.489792,-5.393417,26.654709,33.489792,751.6768,-4127.8133,5.4,0.152941,0.160824,0.128555,0.46069,13.903744,8.289687,13.217539,13.80441,8.118869,12.9823,0.883403,3.326555,4.033145,0.883403,3.326555,4.033145,0.883403,3.326555,4.033145,4648.969241,1493.232932,0.070711,0.005318
18,James,C,-11.793762,50.675598,60.874893,77.02591,-1.449219,-23.933867,77.02591,-1.449219,-23.933867,77.02591,-1.449219,-23.933867,77.02591,-1.449219,-23.933867,77.02591,-1.449219,-23.933867,-1350.2644,-4016.80813,4.6125,0.152941,0.210431,0.199479,0.328804,15.514982,9.097074,14.67041,15.514982,9.097074,14.67041,15.514982,9.097074,14.67041,15.514982,9.097074,14.67041,15.514982,9.097074,14.67041,4180.529037,1249.248393,0.101647,0.005318
19,James,C,-12.248657,50.819275,59.625153,110.042786,-24.326126,-54.122879,22.560425,13.080277,8.684327,22.560425,13.080277,8.684327,22.560425,13.080277,8.684327,22.560425,13.080277,8.684327,-2597.1774,-6086.73955,4.5625,0.129412,0.210142,0.222801,0.330226,16.519562,10.085628,15.184818,10.772032,6.50353,9.637216,10.772032,6.50353,9.637216,10.772032,6.50353,9.637216,10.772032,6.50353,9.637216,4399.781649,1527.273675,0.157256,0.005717
