@relation mattPattern4-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}

@data
-2.573761,7.15387,6.605591,-2.573761,7.15387,6.605591,-2.573761,7.15387,6.605591,-2.573761,7.15387,6.605591,-0.12883,0.46492,-0.136017,-0.12883,0.46492,-0.136017,254.92627,879.52075,-600.936,-3821.1128,0.825,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',2,Matt
-2.525879,6.698975,6.87854,-2.525879,6.698975,6.87854,-2.525879,6.698975,6.87854,-2.525879,6.698975,6.87854,-0.079742,-0.073608,0.221451,-0.079742,-0.073608,0.221451,243.33484,643,0,0,0.475,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',3,Matt
-2.492355,6.722916,6.763611,-2.492355,6.722916,6.763611,-2.492355,6.722916,6.763611,0.306015,0.257629,0.334549,0.306015,0.257629,0.334549,0.306015,0.257629,0.334549,736,265,0,0,0.6875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',3,Matt
-2.492355,6.722916,6.763611,-2.492355,6.722916,6.763611,-2.492355,6.722916,6.763611,0.306015,0.257629,0.334549,0.306015,0.257629,0.334549,0.306015,0.257629,0.334549,736,265,0,0,0.6875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',3,Matt
-2.650375,7.082047,6.72052,-2.650375,7.082047,6.72052,-2.650375,7.082047,6.72052,-2.650375,7.082047,6.72052,-0.36676,0.392639,-0.076904,-0.36676,0.392639,-0.076904,751,558.57605,0.03865,4997.796,0.6875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',3,Matt
-2.238571,6.248856,6.979096,-2.238571,6.248856,6.979096,-2.238571,6.248856,6.979096,-2.238571,6.248856,6.979096,-2.238571,6.248856,6.979096,-2.238571,6.248856,6.979096,383.5633,1194.6869,-2845.0508,2200.8892,0.6875,0.023529,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',3,Matt
-2.880219,6.742065,7.065277,15.307617,-3.546143,-12.07428,15.307617,-3.546143,-12.07428,0.284409,0.288376,0.366974,0.284409,0.288376,0.366974,0.284409,0.288376,0.366974,238,870.4094,-0.019223,-3446.3,0.6875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',3,Matt
-2.621643,6.775589,6.663055,-2.621643,6.775589,6.663055,-2.621643,6.775589,6.663055,0.285355,0.286179,0.371811,0.285355,0.286179,0.371811,0.285355,0.286179,0.371811,242,638,0,0,0.6875,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',4,Matt
-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,693,250,0,0,0.5625,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',4,Matt
-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,693,250,0,0,0.5625,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',4,Matt
-2.07576,6.378143,6.89769,-2.07576,6.378143,6.89769,-2.07576,6.378143,6.89769,-2.07576,6.378143,6.89769,-2.07576,6.378143,6.89769,-2.07576,6.378143,6.89769,676.80005,594.1196,-725.21014,3412.5295,0.5625,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',4,Matt
-2.449265,6.263229,7.501022,-2.449265,6.263229,7.501022,-2.449265,6.263229,7.501022,0.261292,0.256546,0.389893,0.261292,0.256546,0.389893,0.261292,0.256546,0.389893,373.4502,1114.1873,-2121.6396,2652.4128,0.5625,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',4,Matt
-2.832336,6.986267,6.979096,-2.832336,6.986267,6.979096,-2.832336,6.986267,6.979096,-2.832336,6.986267,6.979096,-0.385605,0.384567,0.152771,-0.385605,0.384567,0.152771,207,869.11304,0.073832,-2825.2695,0.5625,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',4,Matt
-2.329544,6.545746,7.079651,14.089966,-3.720093,-11.573792,14.089966,-3.720093,-11.573792,14.089966,-3.720093,-11.573792,14.089966,-3.720093,-11.573792,14.089966,-3.720093,-11.573792,226,644.5,0,0,0.5625,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',5,Matt
-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,717,237,0,0,0.5875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',5,Matt
-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,-2.837128,7.182602,6.435608,717,237,0,0,0.5875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',5,Matt
-2.200256,6.593628,6.828262,-2.200256,6.593628,6.828262,-2.200256,6.593628,6.828262,-2.200256,6.593628,6.828262,-2.200256,6.593628,6.828262,-2.200256,6.593628,6.828262,703.7077,555.8462,-1267.4148,4130.93,0.5875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',5,Matt
-2.243362,6.416458,7.292725,-2.243362,6.416458,7.292725,-2.243362,6.416458,7.292725,-2.243362,6.416458,7.292725,-2.243362,6.416458,7.292725,-2.243362,6.416458,7.292725,375.29294,1148.2878,-1995.555,1788.9857,0.5875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',5,Matt
-2.449265,6.67981,6.928818,-2.449265,6.67981,6.928818,-2.449265,6.67981,6.928818,-2.449265,6.67981,6.928818,-2.449265,6.67981,6.928818,-2.449265,6.67981,6.928818,241.64139,862.98267,265.9463,-3260.8257,0.5875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',5,Matt
-2.090134,6.435608,7.192169,11.653137,-3.720093,-11.573792,-0.174683,-0.357925,-0.18428,-0.174683,-0.357925,-0.18428,-0.174683,-0.357925,-0.18428,-0.174683,-0.357925,-0.18428,270.39206,652.6079,0,0,0.5875,0.003922,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',6,Matt
-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,752,260,0,0,0.325,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',6,Matt
-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,-1.975205,6.579254,7.254425,752,260,0,0,0.325,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',6,Matt
-1.587341,6.196182,7.575241,-1.587341,6.196182,7.575241,-1.587341,6.196182,7.575241,-1.587341,6.196182,7.575241,-1.587341,6.196182,7.575241,-1.587341,6.196182,7.575241,723.78143,549.8564,-986.77563,4581.461,0.6125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',6,Matt
-1.673538,5.837051,7.627914,-1.673538,5.837051,7.627914,-1.673538,5.837051,7.627914,-1.673538,5.837051,7.627914,-1.673538,5.837051,7.627914,-1.673538,5.837051,7.627914,397.90793,1229.7649,-1903.0548,1988.705,0.6125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',6,Matt
-2.291245,6.526581,7.053314,12.350464,-1.980591,-12.910461,12.350464,-1.980591,-12.910461,12.350464,-1.980591,-12.910461,12.350464,-1.980591,-12.910461,12.350464,-1.980591,-12.910461,229.63506,841.1969,263.78247,-2677.1423,0.6125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',6,Matt
-1.783676,6.373352,7.091614,-1.783676,6.373352,7.091614,-1.783676,6.373352,7.091614,-1.783676,6.373352,7.091614,-1.783676,6.373352,7.091614,-1.783676,6.373352,7.091614,253,618,0,0,0.2125,0.003922,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',7,Matt
-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,736,261,0,0,0.3875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',7,Matt
-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,-2.142807,6.488281,6.957535,736,261,0,0,0.3875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',7,Matt
-1.999146,6.574463,7.19696,-1.999146,6.574463,7.19696,-0.133133,0.104385,0.113968,-0.133133,0.104385,0.113968,-0.133133,0.104385,0.113968,-0.133133,0.104385,0.113968,704.9408,583.296,-507.15744,2931.1135,0.6875,0.011765,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',7,Matt
