@relation jamesPattern4-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]'}
@attribute ' Counter' numeric
@attribute Name {James}

@data
0.861908,4.960785,8.336609,0.861908,4.960785,8.336609,0.018112,-0.017044,-0.002136,0.018112,-0.017044,-0.002136,0.018112,-0.017044,-0.002136,0.018112,-0.017044,-0.002136,736,192,0,0,0.425,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,James
0.861908,4.960785,8.336609,0.861908,4.960785,8.336609,0.018112,-0.017044,-0.002136,0.018112,-0.017044,-0.002136,0.018112,-0.017044,-0.002136,0.018112,-0.017044,-0.002136,736,192,0,0,0.425,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,James
0.809235,4.797974,8.87291,0.809235,4.797974,8.87291,0.809235,4.797974,8.87291,0.809235,4.797974,8.87291,0.809235,4.797974,8.87291,0.809235,4.797974,8.87291,671.8233,565.96906,-1796.0687,5730.2007,0.7,0.023529,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,James
0.699097,4.917679,8.504196,0.699097,4.917679,8.504196,0.699097,4.917679,8.504196,0.256638,0.065018,0.359451,0.256638,0.065018,0.359451,0.256638,0.065018,0.359451,347.57114,1137.1202,-3336.816,2629.644,0.7,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,James
0.43573,4.898529,8.528137,0.43573,4.898529,8.528137,0.43573,4.898529,8.528137,0.43573,4.898529,8.528137,0.43573,4.898529,8.528137,0.43573,4.898529,8.528137,288.75232,878.29333,509.79352,-3996.118,0.7,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,James
0.464462,5.137955,8.480255,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,297,721,0,0,0.7,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,James
0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,673,238,0,0,0.65,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,James
0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,0.459686,5.214569,8.417999,673,238,0,0,0.65,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,James
0.430954,5.27681,8.815445,0.430954,5.27681,8.815445,0.430954,5.27681,8.815445,0.430954,5.27681,8.815445,0.430954,5.27681,8.815445,0.430954,5.27681,8.815445,632.4729,612.6427,-251.5733,3656.083,0.65,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,James
0.39743,5.176254,8.197739,0.39743,5.176254,8.197739,0.39743,5.176254,8.197739,0.39743,5.176254,8.197739,0.39743,5.176254,8.197739,0.39743,5.176254,8.197739,275.94495,1064.6361,-2910.9724,2783.748,0.65,0.023529,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,James
