@relation mattPattern1-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt, James}

@data
-1.527496,6.967117,7.331039,-1.527496,6.967117,7.331039,-1.527496,6.967117,7.331039,-1.527496,6.967117,7.331039,0.44577,-0.194824,0.929398,0.44577,-0.194824,0.929398,1062.7284,826.376,1504.429,-1898.2128,0.8375,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',2,Matt
-3.720581,7.627914,5.937607,-3.720581,7.627914,5.937607,0.132095,0.295059,-0.150208,0.132095,0.295059,-0.150208,0.132095,0.295059,-0.150208,0.132095,0.295059,-0.150208,809.3972,382.64227,-2333.2139,-1814.7178,0.8375,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',2,Matt
-3.289627,7.948746,4.611221,-3.289627,7.948746,4.611221,-3.289627,7.948746,4.611221,-3.289627,7.948746,4.611221,-3.289627,7.948746,4.611221,-3.289627,7.948746,4.611221,657,233,0,0,0.8375,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',3,Matt
-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,209,683,0,0,1.1,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',3,Matt
-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,-3.198639,7.398071,5.59285,209,683,0,0,1.1,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',3,Matt
-1.824371,6.598419,7.278366,-1.824371,6.598419,7.278366,-1.824371,6.598419,7.278366,-1.824371,6.598419,7.278366,-1.824371,6.598419,7.278366,-1.824371,6.598419,7.278366,556.3719,1170.8044,1862.2808,2413.1526,0.8,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',3,Matt
-2.466019,6.742065,7.149078,-2.616882,-12.770081,1.116943,-2.616882,-12.770081,1.116943,-2.616882,-12.770081,1.116943,-2.616882,-12.770081,1.116943,-2.616882,-12.770081,1.116943,1083.8336,847.4164,2632.6658,-3402.0298,0.8,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',3,Matt
-3.591293,7.580032,4.678268,-3.591293,7.580032,4.678268,-3.591293,7.580032,4.678268,-3.591293,7.580032,4.678268,-3.591293,7.580032,4.678268,-3.591293,7.580032,4.678268,860.01605,333.21027,-3300.4329,-2133.2632,0.8,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',3,Matt
-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,587.30743,204,0,0,0.45,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',4,Matt
-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,187,631,0,0,1.15,0.035294,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',4,Matt
-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,187,631,0,0,1.15,0.035294,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',4,Matt
-2.035065,6.833038,6.957535,-2.035065,6.833038,6.957535,-2.035065,6.833038,6.957535,-2.035065,6.833038,6.957535,-2.035065,6.833038,6.957535,-2.035065,6.833038,6.957535,596.30725,1115.426,1222.1261,1280.9064,0.8,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',4,Matt
-3.031052,6.607987,6.952759,-3.031052,6.607987,6.952759,0.468719,0.509171,-0.117188,0.468719,0.509171,-0.117188,0.468719,0.509171,-0.117188,0.468719,0.509171,-0.117188,1072.5975,815.8026,2025.0758,-2029.843,0.8,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',4,Matt
