@relation jamesPattern3-35

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric

@data
-0.90979,6.102814,7.912827,-0.90979,6.102814,7.912827,-0.90979,6.102814,7.912827,-0.90979,6.102814,7.912827,-0.121353,-0.087982,0.348343,-0.121353,-0.087982,0.348343,374.05347,188.46771,-6267.2896,2178.1484,0.7625,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1
-1.259338,6.811493,8.099579,-1.259338,6.811493,8.099579,-1.259338,6.811493,8.099579,-1.259338,6.811493,8.099579,-1.259338,6.811493,8.099579,-1.259338,6.811493,8.099579,225,251,0,0,0.2875,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-0.670364,6.835434,7.462723,-0.670364,6.835434,7.462723,-0.670364,6.835434,7.462723,0.268066,0.254517,0.585373,0.268066,0.254517,0.585373,0.268066,0.254517,0.585373,248,697,0,0,0.5625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-0.670364,6.835434,7.462723,-0.670364,6.835434,7.462723,-0.670364,6.835434,7.462723,0.268066,0.254517,0.585373,0.268066,0.254517,0.585373,0.268066,0.254517,0.585373,248,697,0,0,0.5625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-0.794861,6.36618,7.544128,-0.794861,6.36618,7.544128,-0.794861,6.36618,7.544128,-0.794861,6.36618,7.544128,-0.794861,6.36618,7.544128,-0.794861,6.36618,7.544128,666.2407,736.54175,8430.166,1861.3868,0.5625,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-0.090973,6.251251,7.740448,-0.090973,6.251251,7.740448,-0.090973,6.251251,7.740448,-0.090973,6.251251,7.740448,-0.090973,6.251251,7.740448,-0.090973,6.251251,7.740448,1033.7886,715.03845,6766.69,-2109.8882,0.5625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-0.828384,6.030991,7.333435,-0.828384,6.030991,7.333435,-0.828384,6.030991,7.333435,-0.828384,6.030991,7.333435,-0.828384,6.030991,7.333435,-0.828384,6.030991,7.333435,1286.0986,361.41895,-1141.6311,-4571.9424,0.5625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-0.368698,6.375748,7.912827,-0.368698,6.375748,7.912827,0.057526,0.052185,-0.031967,0.057526,0.052185,-0.031967,0.057526,0.052185,-0.031967,0.057526,0.052185,-0.031967,844.0257,155.6134,-6851.2075,736.4938,0.825,0.027451,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-0.723038,6.24646,7.884094,-0.723038,6.24646,7.884094,-0.723038,6.24646,7.884094,-0.723038,6.24646,7.884094,0.084381,0.020935,0.350296,0.084381,0.020935,0.350296,388.23996,197.90076,-6858.3936,1186.9889,0.825,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',2
-1.115692,6.849808,8.176193,-1.115692,6.849808,8.176193,-1.115692,6.849808,8.176193,-1.115692,6.849808,8.176193,-1.115692,6.849808,8.176193,-1.115692,6.849808,8.176193,156.84538,266.0562,0,0,0.2875,0.003922,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
