@relation jamesPattern3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt, James}

@data
-1.113297,6.957535,6.658264,-1.113297,6.957535,6.658264,-1.113297,6.957535,6.658264,0.324677,0.230896,0.378784,0.324677,0.230896,0.378784,0.324677,0.230896,0.378784,883.6437,176.31482,-6310.886,553.68353,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
-2.487564,7.608765,6.715729,-2.487564,7.608765,6.715729,-2.487564,7.608765,6.715729,-2.487564,7.608765,6.715729,-2.487564,7.608765,6.715729,-2.487564,7.608765,6.715729,338.52997,248.18848,-4491.6626,427.2614,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
-1.802826,7.39328,7.031769,6.781006,-7.897949,-9.90448,6.781006,-7.897949,-9.90448,6.781006,-7.897949,-9.90448,-0.318726,0.285049,0.440826,-0.318726,0.285049,0.440826,211.32947,256,0,0,0.725,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,248,795,0,0,0.3375,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,-1.271317,6.971909,6.91684,248,795,0,0,0.3375,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
-1.611298,7.307098,6.926422,-1.611298,7.307098,6.926422,-1.611298,7.307098,6.926422,-1.611298,7.307098,6.926422,-0.383209,0.321869,0.153976,-0.383209,0.321869,0.153976,590.0917,775.0327,6432.9497,-510.43646,0.6375,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
-0.706284,6.770798,7.084442,-0.706284,6.770798,7.084442,-0.706284,6.770798,7.084442,-0.706284,6.770798,7.084442,-0.706284,6.770798,7.084442,-0.706284,6.770798,7.084442,1037.4761,750.6577,4035.2092,-250.6656,0.6375,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
-0.902603,6.746857,6.849808,6.433106,-6.504822,-10.905457,6.433106,-6.504822,-10.905457,6.433106,-6.504822,-10.905457,6.433106,-6.504822,-10.905457,6.433106,-6.504822,-10.905457,1206.1787,412.133,-887.426,-2790.3237,0.6375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
-1.295258,7.024582,6.643906,7.476807,-6.156921,-11.239624,7.476807,-6.156921,-11.239624,7.476807,-6.156921,-11.239624,7.476807,-6.156921,-11.239624,7.476807,-6.156921,-11.239624,815.1106,191,-5662.984,0.058676,0.6375,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
-1.520309,7.378922,6.481094,-1.520309,7.378922,6.481094,-1.520309,7.378922,6.481094,-1.520309,7.378922,6.481094,-1.520309,7.378922,6.481094,-1.520309,7.378922,6.481094,415.18564,251.63757,-5798.482,1109.115,0.6375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',37,Matt
