@relation jamesPattern2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]'}
@attribute ' Counter' numeric
@attribute Name {James}

@data
-0.083786,3.450043,9.337372,-0.083786,3.450043,9.337372,-0.083786,3.450043,9.337372,-0.083786,3.450043,9.337372,0.106979,0.102341,0.121948,0.106979,0.102341,0.121948,355.87604,1083.1653,-757.9943,949.85046,0.7875,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1,James
-0.457291,3.167526,9.117111,-0.457291,3.167526,9.117111,-0.457291,3.167526,9.117111,-0.457291,3.167526,9.117111,-0.457291,3.167526,9.117111,-0.457291,3.167526,9.117111,218.24535,1234,0,0,0.4875,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2,James
-0.802048,3.57933,9.519333,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,276,183,0,0,0.8375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2,James
-0.802048,3.57933,9.519333,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,19.659424,12.635803,-34.95331,276,183,0,0,0.8375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2,James
-0.237015,3.564957,9.327805,-0.237015,3.564957,9.327805,-0.237015,3.564957,9.327805,-0.237015,3.564957,9.327805,-0.237015,3.564957,9.327805,-0.237015,3.564957,9.327805,651.57587,135.30719,6355.82,-1479.1683,0.8375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2,James
-0.548264,3.493134,9.476242,-0.548264,3.493134,9.476242,-0.548264,3.493134,9.476242,0.162399,0.07016,0.305298,0.162399,0.07016,0.305298,0.162399,0.07016,0.305298,1130.7699,84.17108,1102.2611,244.93813,0.8375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2,James
-0.213074,3.224976,8.997406,-0.213074,3.224976,8.997406,-0.213074,3.224976,8.997406,-0.213074,3.224976,8.997406,-0.213074,3.224976,8.997406,-0.213074,3.224976,8.997406,736.7239,586.0349,-2520.6135,3349.3728,0.8375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2,James
-0.256165,3.397369,9.366104,-0.256165,3.397369,9.366104,-0.256165,3.397369,9.366104,-0.256165,3.397369,9.366104,-0.256165,3.397369,9.366104,-0.256165,3.397369,9.366104,383.7928,1110.7404,-1305.5667,2363.9595,0.8375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2,James
-0.428558,3.335114,9.385269,-0.428558,3.335114,9.385269,-0.428558,3.335114,9.385269,-0.428558,3.335114,9.385269,-0.428558,3.335114,9.385269,-0.428558,3.335114,9.385269,283,1271,0,0,0.5,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',3,James
-0.375885,3.708618,8.887268,-0.375885,3.708618,8.887268,-0.010651,-0.127823,0.03833,-0.010651,-0.127823,0.03833,-0.010651,-0.127823,0.03833,-0.010651,-0.127823,0.03833,290,262,0,0,0.7875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',3,James
-0.375885,3.708618,8.887268,-0.375885,3.708618,8.887268,-0.010651,-0.127823,0.03833,-0.010651,-0.127823,0.03833,-0.010651,-0.127823,0.03833,-0.010651,-0.127823,0.03833,290,262,0,0,0.7875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',3,James
-0.682343,3.684662,9.667786,19.659424,14.028931,-34.95331,19.659424,14.028931,-34.95331,19.659424,14.028931,-34.95331,19.659424,14.028931,-34.95331,19.659424,14.028931,-34.95331,622.38525,225.58026,7068.266,-556.9423,0.7875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',3,James
-0.00238,3.541016,8.896851,-0.00238,3.541016,8.896851,-0.033005,0.092667,-0.046875,-0.033005,0.092667,-0.046875,-0.033005,0.092667,-0.046875,-0.033005,0.092667,-0.046875,1123.8102,179.04407,6385.0713,-63.256664,0.7875,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',3,James
