@relation jamesPattern4-15

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]'}
@attribute ' Counter' numeric

@data
0.110123,5.674255,8.39885,19.483948,-8.071899,-35.787964,19.483948,-8.071899,-35.787964,19.483948,-8.071899,-35.787964,0.012711,-0.047424,0.435135,0.012711,-0.047424,0.435135,321.76346,749.6559,0,0,0.3125,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
0.248993,5.621582,8.389282,21.051025,-7.897949,-34.95331,21.051025,-7.897949,-34.95331,21.051025,-7.897949,-34.95331,0.147827,-0.165497,0.472992,0.147827,-0.165497,0.472992,780,198,0,0,0.6125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
0.248993,5.621582,8.389282,21.051025,-7.897949,-34.95331,21.051025,-7.897949,-34.95331,21.051025,-7.897949,-34.95331,0.147827,-0.165497,0.472992,0.147827,-0.165497,0.472992,780,198,0,0,0.6125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
0.287292,5.559326,8.312668,0.287292,5.559326,8.312668,0.287292,5.559326,8.312668,0.270691,0.14444,0.458496,0.270691,0.14444,0.458496,0.270691,0.14444,0.458496,719.7109,572.0238,-334.84296,2420.87,0.6125,0.023529,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
0.134064,5.702988,7.699738,0.134064,5.702988,7.699738,0.134064,5.702988,7.699738,0.134064,5.702988,7.699738,0.134064,5.702988,7.699738,0.134064,5.702988,7.699738,352.32367,1139.0602,-2759.5767,2898.5842,0.6125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
-0.067032,5.626373,8.518555,-0.067032,5.626373,8.518555,-0.067032,5.626373,8.518555,-0.067032,5.626373,8.518555,-0.067032,5.626373,8.518555,-0.067032,5.626373,8.518555,261.4646,872.8185,333.81323,-2418.8599,0.6125,0.023529,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.445313,5.645523,8.135483,0.445313,5.645523,8.135483,0.445313,5.645523,8.135483,0.445313,5.645523,8.135483,0.445313,5.645523,8.135483,0.445313,5.645523,8.135483,265,757.5,0,0,0.325,0.003922,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
0.402222,5.765228,8.389282,0.402222,5.765228,8.389282,0.402222,5.765228,8.389282,0.402222,5.765228,8.389282,0.295227,-0.00882,0.463577,0.295227,-0.00882,0.463577,793,174,0,0,0.4375,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
0.402222,5.765228,8.389282,0.402222,5.765228,8.389282,0.402222,5.765228,8.389282,0.402222,5.765228,8.389282,0.295227,-0.00882,0.463577,0.295227,-0.00882,0.463577,793,174,0,0,0.4375,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
