@relation jamesPattern1-15

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]'}
@attribute ' Counter' numeric

@data
-1.477219,5.351028,8.06366,-1.477219,5.351028,8.06366,-1.477219,5.351028,8.06366,-1.477219,5.351028,8.06366,-1.477219,5.351028,8.06366,-1.477219,5.351028,8.06366,1151.0244,867.90247,881.85144,-4308.4263,0.6375,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37
-1.668747,5.667069,8.18338,-1.668747,5.667069,8.18338,-1.668747,5.667069,8.18338,-1.668747,5.667069,8.18338,-1.668747,5.667069,8.18338,-1.668747,5.667069,8.18338,864.0367,324.16907,-2742.6228,-1946.3727,0.6375,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37
-1.304825,5.188232,8.283936,-1.304825,5.188232,8.283936,-1.304825,5.188232,8.283936,0.180222,0.239227,0.581848,0.180222,0.239227,0.581848,0.180222,0.239227,0.581848,652,201,0,0,0.25,0.003922,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38
-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,303,730,0,0,0.3125,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38
-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,-1.429337,5.705368,8.130707,303,730,0,0,0.3125,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38
-1.472427,5.781982,8.298294,-1.472427,5.781982,8.298294,-0.045792,-0.002121,0.006378,-0.045792,-0.002121,0.006378,-0.010025,0.318268,0.28714,-0.010025,0.318268,0.28714,623.2464,1062.664,2723.2407,1997.1055,0.575,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38
-1.424545,5.442017,8.422791,-1.424545,5.442017,8.422791,-0.066025,-0.004257,0.020218,-0.066025,-0.004257,0.020218,0.091873,0.001343,0.406113,0.091873,0.001343,0.406113,1081.2228,799.4414,796.5096,-4746.1357,0.575,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38
-1.807617,5.556931,7.785934,31.492615,-8.24585,-22.929382,31.492615,-8.24585,-22.929382,31.492615,-8.24585,-22.929382,31.492615,-8.24585,-22.929382,31.492615,-8.24585,-22.929382,869.59827,292.4624,-2180.6123,-831.58563,0.575,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38
-1.462845,5.35582,7.642288,-1.462845,5.35582,7.642288,-1.462845,5.35582,7.642288,-1.462845,5.35582,7.642288,-1.462845,5.35582,7.642288,-1.462845,5.35582,7.642288,666,268,0,0,0.275,0.007843,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39
-1.649597,5.710159,7.948746,-1.649597,5.710159,7.948746,0.100143,-0.057526,0.061768,0.100143,-0.057526,0.061768,-0.203796,0.191971,-0.027969,-0.203796,0.191971,-0.027969,273,789,0,0,0.375,0.003922,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39
